ExampleID	Coder	Journal	Vol	No	Year	Pages	ExPg	ExNo	Example Sentence	Language	Argument	Predicate	GramFunction	ThetaRole	Gender	Number	Name?	Pronoun?	Content	Comments	ExType	Filename
									ex:datt-en God niet en spaert|that-him God not NEG saves|that God does not save him.	O	him	save	O	P	M	S	N	Y				
NLLT_00035		NLLT	21	NA	2003	pp681–735	p706	46d	ex:dat-si de moeder wacht|that-them the mother awaits|that the mother awaits them.	O	mother	await	S	A	F	S	N	N	K		Constructed	file:Ackema-Neeleman2003_Article_Context-SensitiveSpell-Out.html
									ex:dat-si de moeder wacht|that-them the mother awaits|that the mother awaits them.	O	them	await	O	P	N	P	N	Y				
NLLT_00036		NLLT	21	NA	2003	pp681–735	p713	60a	ex:{Bob} {vergeet haar} {nooit}|Bob forgets herSTRONG never|Bob will never forger her.	O	Bob	forget	S	A	M	S	Y	N			Constructed	file:Ackema-Neeleman2003_Article_Context-SensitiveSpell-Out.html
									ex:{Bob} {vergeet haar} {nooit}|Bob forgets herSTRONG never|Bob will never forger her.	O	her	forget	O	P	F	S	N	Y				
NLLT_00037		NLLT	21	NA	2003	pp681–735	p721	79a	ex:Je [VP [V le vois] [DP tD [DP lui]]]|I him see him|It is him that I see.	O	him	see	O	P	M	S	N	Y			Constructed	file:Ackema-Neeleman2003_Article_Context-SensitiveSpell-Out.html
NLLT_00038		NLLT	21	NA	2003	pp681–735	p722	79b	ex:Oserai le vous demander?|dare-1SG it you ask|Do I dare ask it of you?	O											Constructed	file:Ackema-Neeleman2003_Article_Context-SensitiveSpell-Out.html
NLLT_00039		NLLT	21	NA	2003	pp681–735	p727	91	ex:y-uriid-u an ya-xrumu-a|want-3.M.SG that leave-3-MASC-SG-SUBJ|He wants to leave.	O	He	want	S	E	M	S	N	Y			Constructed	file:Ackema-Neeleman2003_Article_Context-SensitiveSpell-Out.html
NLLT_00040		NLLT	21	NA	2003	pp681–735	p730	97	"ex:is not attested, as far as we know."	O											Constructed	file:Ackema-Neeleman2003_Article_Context-SensitiveSpell-Out.html
NLLT_00041		NLLT	21	NA	2003	pp681–735	p730	XXb	ex:Loopt ik dagelijks met een hondje over straat?|walk-2sg I daily with a doggy in the.street|Do you walk with a doggy in the street every day?	O											Constructed	file:Ackema-Neeleman2003_Article_Context-SensitiveSpell-Out.html
NLLT_00100		NLLT	21	NA	2003	pp435–483	p452	23	ex:Tjitji-ngku Billy-nya/ngayu-nya nya-ngu.|child-ERG Billy-ACC/1SG-ACC see-PAST|The child saw Billy/me.	O	child	see	S	E	N	S	N	N			Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
									ex:Tjitji-ngku Billy-nya/ngayu-nya nya-ngu.|child-ERG Billy-ACC/1SG-ACC see-PAST|The child saw Billy/me.	O	Billy	see	O	P	M	S	Y	N				
NLLT_00101		NLLT	21	NA	2003	pp435–483	p452	24a	ex:Billy-lu tjitji nya-ngu.|Billy-ERG child see-PAST|Billy saw the child.	O	Billy	see	S	E	M	S	Y	N			Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
									ex:Billy-lu tjitji nya-ngu.|Billy-ERG child see-PAST|Billy saw the child.	O	child	see	O	P	N	S	N	N				
NLLT_00102		NLLT	21	NA	2003	pp435–483	p453	25a	ex:Ha-seret her’a ’et-ha-milxama.|the-movie showed ACC-the-war|The movie showed the war.	O											Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
NLLT_00103		NLLT	21	NA	2003	pp435–483	p453	25b	ex:Ha-seret her’a (∗ ’et-) milxama.|the movie showed (ACC-)war|The movie showed a war.	O											Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
NLLT_00104		NLLT	21	NA	2003	pp435–483	p453	26a	ex:Hu mexapes ’et-ha-rofe.|he is.looking ACC-the-doctor|He’s looking for the doctor.	O	He	look	S	E	M	S	N	Y			Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
									ex:Hu mexapes ’et-ha-rofe.|he is.looking ACC-the-doctor|He’s looking for the doctor.	O	doctor	look	O	P	N	S	N	N	O			
NLLT_00105		NLLT	21	NA	2003	pp435–483	p453	26b	ex:Hu mexapes (∗ ’et) rofe ’exad.|he is.looking (ACC) doctor one|He’s looking for a certain doctor.	O	He	look	S	E	M	S	N	Y			Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
									ex:Hu mexapes (∗ ’et) rofe ’exad.|he is.looking (ACC) doctor one|He’s looking for a certain doctor.	O	doctor	look	O	P	N	S	N	N	O			
NLLT_00106		NLLT	21	NA	2003	pp435–483	p453	27a	ex:Zeynep Ali-yi /on-u /adam- /o masa-y gördü.|Zeynep Ali-ACC /him-ACC /man-ACC /that table-ACC saw|Zeynep saw Ali/him/the man/that table.	O	Zeynep	see	S	E	U	S	Y	N			Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
									ex:Zeynep Ali-yi /on-u /adam- /o masa-y gördü.|Zeynep Ali-ACC /him-ACC /man-ACC /that table-ACC saw|Zeynep saw Ali/him/the man/that table.	O	Ali	see	O	P	M	S	Y	N				
									ex:Zeynep Ali-yi /on-u /adam- /o masa-y gördü.|Zeynep Ali-ACC /him-ACC /man-ACC /that table-ACC saw|Zeynep saw Ali/him/the man/that table.	O	him/man	see	O	P	M	S	N	N				
NLLT_00107		NLLT	21	NA	2003	pp435–483	p454	28	"ex:Iki k z/k z- tan yordum. (Enç 1991, p. 6)|two girl/girl-ACC I.knew|I knew two girls."	O	girls	know	O	P	F	P	N	N			Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
NLLT_00108		NLLT	21	NA	2003	pp435–483	p454	29a	"ex:Ali bir kitab- ald (Enç 1991, p. 5)|Ali one book-ACC bought|A book is such that Ali bought it."	O	Ali	buy	S	A	M	S	Y	N	B		Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
NLLT_00109		NLLT	21	NA	2003	pp435–483	p454	29b	"ex:Ali bir kitap ald . (Enç 1991, p. 5)|Ali one book bought|Ali bought some book or other."	O	Ali	buy	S	A	M	S	Y	N	B		Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
NLLT_00111		NLLT	21	NA	2003	pp435–483	p466	XXb	ex:? Aurat baccaa bulaa rahii hai.|woman child calling PROG is|The woman is calling a child.	O	woman	call	S	A	F	S	N	N			Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
									ex:? Aurat baccaa bulaa rahii hai.|woman child calling PROG is|The woman is calling a child.	O	child	call	O	P	N	S	N	N				
NLLT_00112		NLLT	21	NA	2003	pp435–483	p468	40	ex:Yeki az ân ketâbhâ-râ xândam.|INDEF of DEM books-ACC I.read|I read one of these books.	O											Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
NLLT_00113		NLLT	21	NA	2003	pp435–483	p469	41	ex:(Yek) ketâb-i-râ xând ke|INDEF book-INDEF-ACC he.read|He read a certain book which ...	O	he	read	S	A	M	S	N	Y	B		Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
NLLT_00114		NLLT	21	NA	2003	pp435–483	p469	42a	ex:Mard-i-râ did.|man-INDEF-ACC he.saw|He saw a man.	O	he	see	S	E	M	S	N	Y			Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
									ex:Mard-i-râ did.|man-INDEF-ACC he.saw|He saw a man.	O	man	see	O	P	M	S	N	N				
NLLT_00115		NLLT	21	NA	2003	pp435–483	p469	42b	ex:Medâd-i xarid.|pencil-INDEF he.bought|He bought a pencil.	O	he	bought	S	A	M	S	N	Y			Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
NLLT_00116		NLLT	21	NA	2003	pp435–483	p470	44a	ex:Xarguç-râ dust dâram|rabbit-ACC liking I.have|I like rabbits.	O											Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
NLLT_00117		NLLT	21	NA	2003	pp435–483	p470	44b	ex:Xarguç dust dâram.|rabbit liking I.have|I like rabbit.	O											Constructed	file:Aissen2003_Article_DifferentialObjectMarkingIconi.html
NLLT_00434		NLLT	21	NA	2003	pp737–778	p762	32a	ex:Dani cava et ha kirot be laqa|Dani painted OM the walls with varnish|Dani painted the walls with varnish.	O	Dani	paint	S	A	U	S	Y	N	O		Constructed	file:Arad2003_Article_LocalityConstraintsOnTheInterp.html
NLLT_00435		NLLT	21	NA	2003	pp737–778	p762	32b	ex:∗Dani siyed et ha kirot be laqa|Dani whitewashed OM the walls with varnish.|Dani whitewashed the walls with varnish.	O	Dani	whitewashed	S	A	U	S	Y	N	O		Constructed	file:Arad2003_Article_LocalityConstraintsOnTheInterp.html
NLLT_00984		NLLT	21	NA	2003	pp215–246	NA	1	ex:That picture of himselfi bothered Johni .	E	himself				M	S	N	Y		possessor?	Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
										E	John	bother	O	E	M	S	Y	N	E			
NLLT_00985		NLLT	21	NA	2003	pp215–246	p216	2a	ex:I introduced them to each other.|∗|b. I introduced each other to them.											separated into examples a and b	Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
									ex:I introduced them to each other.	E	them	introduce	O	P	N	P	N	Y				
									ex:I introduced them to each other.	E	each other	introduce	Q	R	N	P	N	N				
									ex:|∗|b. I introduced each other to them.	E	each other	introduce	O	P	N	P	N	Y				
									ex:|∗|b. I introduced each other to them.	E	them 	introduce	Q	R	N	P	N	N				
NLLT_00986		NLLT	21	NA	2003	pp215–246	p216	3	"ex:Although I wouldn’t introduce him to Tom, I would to Sally."	E	him	introduce	O	P	M	S	N	Y			Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
									"ex:Although I wouldn’t introduce him to Tom, I would to Sally."	E	Tom	introduce	Q	R	M	S	Y	N		not introduce		
									"ex:Although I wouldn’t introduce him to Tom, I would to Sally."	E	Sally	introduce	Q	R	F	S	Y	N				
NLLT_00987		NLLT	21	NA	2003	pp215–246	p221	7	"ex:Although I don’t like steak, I do pizza."	E											Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
NLLT_00988		NLLT	21	NA	2003	pp215–246	p223	11	ex:I did a magazine.	E											Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
NLLT_00989		NLLT	21	NA	2003	pp215–246	p224	13	"ex:Although John isn’t fond of Sally, he is of Martha."	E	John	be fond of	S	A	M	S	Y	N	E		Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
									"ex:Although John isn’t fond of Sally, he is of Martha."	E	Sally	be fond of	Q	P	F	S	Y	N				
									"ex:Although John isn’t fond of Sally, he is of Martha."	E	Martha	be fond of	Q	P	F	S	Y	N				
NLLT_00990		NLLT	21	NA	2003	pp215–246	p224	14	"ex:John wanted to visit Sally, but I didn’t expect Mary to ."	E	John	want	S	A	M	S	Y	N			Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
									"ex:John wanted to visit Sally, but I didn’t expect Mary to ."	E	Sally	visit	O	R	F	S	Y	N				
									"ex:John wanted to visit Sally, but I didn’t expect Mary to ."	E	Mary	(not) expect	S	A	F	S	Y	N		not expected to visit		
NLLT_00991		NLLT	21	NA	2003	pp215–246	p225	17	"ex:Although I wouldn’t talk to Sally, I would to Susan."	E	Sally	talk	Q	R	F	S	Y	N			Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
									"ex:Although I wouldn’t talk to Sally, I would to Susan."	E	Susan	talk	Q	R	F	S	Y	N				
NLLT_00992		NLLT	21	NA	2003	pp215–246	p229	27	ex:They seem to each other to be happy.	E	they	seem	S	E	N	P	N	Y			Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
										E	each other	seem	Q	E	N	P	N	Y				
NLLT_00993		NLLT	21	NA	2003	pp215–246	p229	29	ex:Himself amuses himself.	E	himself	amuse	S	A	M	S	N	Y	E		Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
										E	himself	amuse	O	P	M	S	N	Y	E	coreferential		
NLLT_00994		NLLT	21	NA	2003	pp215–246	p232	3	"ex:Although I wouldn’t introduce him to Tom, I would to Sally."												Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
NLLT_00995		NLLT	21	NA	2003	pp215–246	p232	32	ex:... dat Jan [aan Marie]i geprobeerd heeft het boek te geven ti|... that John to Mary tried has the book to give ti|... that John has tried to give the book to Mary.												Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
NLLT_00996		NLLT	21	NA	2003	pp215–246	p234	3	"ex:Although I wouldn’t introduce him to Tom, I would to Sally."												Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
NLLT_00997		NLLT	21	NA	2003	pp215–246	p238	45	ex:Himselfi strikes Johni as amusing.												Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
NLLT_00998		NLLT	21	NA	2003	pp215–246	p239	46	ex:Theyi strike each otheri [as ei intelligent].												Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
NLLT_00999		NLLT	21	NA	2003	pp215–246	p239	47	ex:Whoi did the pamphlet [VP [strike ei ] as being insulting to ei ]?												Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
NLLT_01000		NLLT	21	NA	2003	pp215–246	p240	49	ex:dat John Mariei zonder ei ann te kijken ti gekust heeft.|That John Mary without on to look kissed has|That John kissed Mary without looking at her.												Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
NLLT_01001		NLLT	21	NA	2003	pp215–246	p240	50	"ex:Speaker A: Has she dated Bill? (Jayaseelan 1999, ex. (63))|∗|Speaker B: Yes, she has Bill."												Constructed	file:Baltin2003_Article_TheInteractionOfEllipsisAndBin.html
NLLT_01282		NLLT	210	NA	2003	pp485–541	p496	XXb	"ex:Jeder Manni glaubt, daß eri /∗ deri dumm ist.|every man believes that he/d-pron stupid is|Every mani believes that hei is stupid."												Constructed	file:Bhatt2003_Article_LocalityInCorrelatives.html
NLLT_01283		NLLT	210	NA	2003	pp485–541	p514	41a	ex:[Hisi band]j seems to every Austinitei [t j to be the best].|b. [Someone from hisi class]j seems to every professori [t j to be|a genius].												Constructed	file:Bhatt2003_Article_LocalityInCorrelatives.html
NLLT_01284		NLLT	210	NA	2003	pp485–541	p515	42a	ex:LF: seems to every Austinitei [hisi band to be the best]|b. LF: seems to every professori [[someone from hisi class] to be|a genius].												Constructed	file:Bhatt2003_Article_LocalityInCorrelatives.html
NLLT_01285		NLLT	210	NA	2003	pp485–541	p522	53	ex:[∗ (jo) sale para hai] [Lila vo CD khariid-egii]|Rel sale on be.Prs Lila.F Dem CD buy-Fut.F|Lila will buy the CD which is on sale.												Constructed	file:Bhatt2003_Article_LocalityInCorrelatives.html
NLLT_01286		NLLT	210	NA	2003	pp485–541	p525	60	ex:Condition on Local Merge:|The structure-building operation of Merge must apply in as|local a manner as possible.												Constructed	file:Bhatt2003_Article_LocalityInCorrelatives.html
NLLT_01287		NLLT	210	NA	2003	pp485–541	p536	80	ex:Bill thinks that the earth is larger than it is.												Constructed	file:Bhatt2003_Article_LocalityInCorrelatives.html
NLLT_03165		NLLT	21	NA	2003	pp1–37	NA	1a	ex:Who is the class reading a book about?|∗|b. Who is a book about being read by the class?												Constructed	file:Davies-Dubinsky2003_Article_OnExtractionFromNPS.html
NLLT_03166		NLLT	21	NA	2003	pp1–37	p2	4	ex:Who did Ashley participate in/watch/protest the coronation of?												Constructed	file:Davies-Dubinsky2003_Article_OnExtractionFromNPS.html
NLLT_03167		NLLT	21	NA	2003	pp1–37	p3	5a	ex:Who did they write a book about?												Constructed	file:Davies-Dubinsky2003_Article_OnExtractionFromNPS.html
NLLT_03168		NLLT	21	NA	2003	pp1–37	p4	8a	ex:Who did they read/ﬁnish a book about?												Constructed	file:Davies-Dubinsky2003_Article_OnExtractionFromNPS.html
NLLT_03169		NLLT	21	NA	2003	pp1–37	p5	9a	ex:Who did you read some/many books about?												Constructed	file:Davies-Dubinsky2003_Article_OnExtractionFromNPS.html
NLLT_03170		NLLT	21	NA	2003	pp1–37	p5	10	ex:Who did Tom read his/their/my book about?												Constructed	file:Davies-Dubinsky2003_Article_OnExtractionFromNPS.html
NLLT_03171		NLLT	21	NA	2003	pp1–37	p6	12	ex:Who did Tom write his story about?												Constructed	file:Davies-Dubinsky2003_Article_OnExtractionFromNPS.html
NLLT_03172		NLLT	21	NA	2003	pp1–37	p6	14a	ex:What did Jake take a picture of? (answer: The Alamo)|b. What did Tannu Tuva start a war (answer: trade)|over?												Constructed	file:Davies-Dubinsky2003_Article_OnExtractionFromNPS.html
NLLT_03173		NLLT	21	NA	2003	pp1–37	p12	26	ex:A: Do you have conﬁdence in this consultant’s advice?												Constructed	file:Davies-Dubinsky2003_Article_OnExtractionFromNPS.html
NLLT_03174		NLLT	21	NA	2003	pp1–37	p13	27	ex:A: Do you understand precisely what the ramiﬁcations are?												Constructed	file:Davies-Dubinsky2003_Article_OnExtractionFromNPS.html
NLLT_03175		NLLT	21	NA	2003	pp1–37	p13	28	ex:Tomi wrote hisi book about Nixon.												Constructed	file:Davies-Dubinsky2003_Article_OnExtractionFromNPS.html
NLLT_03176		NLLT	21	NA	2003	pp1–37	p16	31a	ex:∗ Which neighbor did Shelly chain [some dogs of ] to a tree?|b. ∗ Which wood was Gene hoping to ﬁnd [a table of ] for the|kitchen?												Constructed	file:Davies-Dubinsky2003_Article_OnExtractionFromNPS.html
NLLT_03177		NLLT	21	NA	2003	pp1–37	p18	37	ex:Joan ﬁnished a book about the war.												Constructed	file:Davies-Dubinsky2003_Article_OnExtractionFromNPS.html
NLLT_03178		NLLT	21	NA	2003	pp1–37	p18	38	ex:What did Joan ﬁnish a book about?												Constructed	file:Davies-Dubinsky2003_Article_OnExtractionFromNPS.html
NLLT_03179		NLLT	21	NA	2003	pp1–37	p25	59	ex:Johni wrote that book about’imi .												Constructed	file:Davies-Dubinsky2003_Article_OnExtractionFromNPS.html
NLLT_03180		NLLT	21	NA	2003	pp1–37	p27	XXb	ex:Why did you1 send me [DP that [NP PRO2 letter about|∗|yourself1 /you1 ]]?												Constructed	file:Davies-Dubinsky2003_Article_OnExtractionFromNPS.html
NLLT_04834		NLLT	21	NA	2003	pp247–331	p252	5	"ex:Relative clause constructions whose head or [Spec, CP], but not|both, is null, restrict mismatches in Kase between the overt and|the null phrase to varying language-speciﬁc extents."												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04835		NLLT	21	NA	2003	pp247–331	p253	6a	"ex:I sog’s dem Mo, (der) wo3 im Gartn arwat.|I said it the.Dat man who.Nom C in-the garden works|I said it to the man who works in the garden."												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04836		NLLT	21	NA	2003	pp247–331	p253	6b	"ex:Des Kind, ∗ (dem) wo mir an Apfe schenka ...|the.Nom child who.Dat C we an apple gave|The child to whom we gave an apple."												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04837		NLLT	21	NA	2003	pp247–331	p262	23a	ex:John is likely to be however helpful an adviser his father was.|b. I will drink however much wine you want me to drink.|5 In contrast to the overt Ds in (20); see the remarks that follow example (24).												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04838		NLLT	21	NA	2003	pp247–331	p270	42	"ex:The satisfaction of Kase restrictions of the kind referred to|in (5) needs to be checked in the conﬁguration <sister-of-CP,|daughter-of-CP>."												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04839		NLLT	21	NA	2003	pp247–331	p271	43a	"ex:%Ich liebe, [eAcc [werNom gutes tut]].|I like who good does|I like (those) who do good deeds."												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04840		NLLT	21	NA	2003	pp247–331	p271	43b	"ex:Ich liebe, [eAcc [wasAcc dir gefällt]].|I like what you pleases|I like what pleases you."												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04841		NLLT	21	NA	2003	pp247–331	p271	44a	ex:Escrib´ tDO ayer]].|I wrote a who you.saw yesterday|I wrote to whom you saw yesterday.												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04842		NLLT	21	NA	2003	pp247–331	p271	44b	ex:Encontr´e hoy [eDO [a quienIO escribiste tIO ayer]].|I met today a who you.wrote yesterday|I met today who you wrote to yesterday.												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04843		NLLT	21	NA	2003	pp247–331	p272	46a	ex:Ich hasse [eAcc [wasAcc du mir geschickt hast]].|I hate what you me sent have|I hate what you sent me.												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04844		NLLT	21	NA	2003	pp247–331	p272	46b	ex:Ich bin [eAcc [wasAcc du mir geschickt hast]] schon los.|I am what you me sent has already rid|I am already rid of what you sent me.												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04845		NLLT	21	NA	2003	pp247–331	p272	47a	ex:Ich schreibe nur [eDat [wemDat du schöne Bücher schenkst]].|I write only who you nice books give|I write only to whom you give nice books as presents.												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04846		NLLT	21	NA	2003	pp247–331	p273	49a	"ex:Er sitzt [eauf [{auf was, worauf} sie liegen will]].|he sits on what whereof she lie wants|He sits on what she wants to lie."												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04847		NLLT	21	NA	2003	pp247–331	p274	49b	ex:∗Am întâlnit [epe [pe cine era ieri culcat Ion]].|(I) have met on who was yesterday stretched-out Ion|I met (the person) on whom Ion was stretched out yesterday.												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04848		NLLT	21	NA	2003	pp247–331	p279	61a	"ex:Lakoff has made a radically new proposal, or so it may seem.|b. A profound issue, or so it may have appeared at ﬁrst sight,|dissolved into nothing on analysis."												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04849		NLLT	21	NA	2003	pp247–331	p279	64a	ex:John has become (?∗ what is) unbearable.|b. John has become what many people would characterize as|unbearable.												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04850		NLLT	21	NA	2003	pp247–331	p280	65a	"ex:John lives in (?∗ what is) Paris, a town]."												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04851		NLLT	21	NA	2003	pp247–331	p283	71	ex:[What I’d describe as stupid] is lying on this desk.												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04852		NLLT	21	NA	2003	pp247–331	p283	72	ex:The Right Edge Constraint (REC)|A pre-nominal attributive AP must exhibit its adjectival head at|its right edge.												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04853		NLLT	21	NA	2003	pp247–331	p283	73a	ex:He made a [AP scandalous (∗ in a number of ways)] proposal.|b. He made a new and [AP what I’d describe as scandalous (∗ in|certain ways)] proposal.												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04854		NLLT	21	NA	2003	pp247–331	p285	75a	"ex:What did she invite? Mostly lawyers, doctors, people like that.|b. She invited only [what her husband asked her to invite]:|lawyers, doctors, etc."												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04855		NLLT	21	NA	2003	pp247–331	p288	XXd	ex:There is now in that corner [what might conceivably be as-|sumed [to look like a dragon to me] by anyone unfamiliar with|my perceptions].												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04856		NLLT	21	NA	2003	pp247–331	p291	XXb	"ex:John is kissing three lines which may appear to some observers|to be three vertical lines, #but is in fact Mary dressed in a funny|costume."												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04857		NLLT	21	NA	2003	pp247–331	p297	94a	"ex:[ma she mad ig et moshe] mad ig gam oti. [SFR]|what that worries Acc Moshe worries also me|What worries Moshe worries me, too."												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04858		NLLT	21	NA	2003	pp247–331	p298	96a	ex:Ce que tu m-as envoy´ e ne me satisfait pas.|Dem that you.Sg me-have sent Neg me satisﬁes not|What you sent me does not satisfy me.												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04859		NLLT	21	NA	2003	pp247–331	p309	64a	ex:John has become (?∗ what is) unbearable.												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
NLLT_04860		NLLT	21	NA	2003	pp247–331	p309	65a	"ex:John lives in (?∗ what is) Paris, a town."												Constructed	file:Grosu2003_Article_AUnifiedTheoryOfStandardAndTra.html
