ExampleID	Coder	Journal	Vol	No	Year	Pages	ExPg	ExNo	Example Sentence	Language	Argument	Predicate	GramFunction	ThetaRole	Gender	Number	Name?	Pronoun?	Content	Comments	ExType	Filename	
NLLT_02179		NLLT	19	NA	2001	pp229–281	p258	53	ex:They were advised to play only Rock’n Roll.	E	they	be advised	S	E	N	P	N	Y			Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
										E	they	play	S	A	N	P	N	Y	O				
NLLT_02180		NLLT	19	NA	2001	pp229–281	p260	XXb	ex:[Seinei Frau]1 respektiert jeder Manni t1 .|his wife respects every-NOM man|Every man respects his wife.	O	every man	respect	S	A	M	S	N	N	E		Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
										O	his				M	S	N	Y	K	possessor			
										O	wife	respect	O	P	F	S	N	N	"E, K"				
NLLT_02181		NLLT	19	NA	2001	pp229–281	p263	XXb	ex:? LF: [CP has nobody retained [only the hope that we’ll ever|win again]]|Nobody retained only the hope that we ever win again.	E	Nobody	retain	S	A	N	P	N	Y	E		Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
NLLT_02182		NLLT	19	NA	2001	pp229–281	p265	XXb	ex:? LF: tries everybodyi PRO to [only that hei marijuana|smokes] hide|Everybody tries to only hide that they smoke marijuana.	E	everybody	try	S	A	N	P	N	Y			Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
										E	they	smoke	S	A	N	P	N	Y	O	illegal			
NLLT_02184		NLLT	19	NA	2001	pp229–281	p267	XXb	ex:?Ich bin [AP froh [nur [CP dass MARTHA gekommen ist]]].|I am glad only that Martha come is|I am glad (only) that Martha came.	O	Martha	come	S	A	F	S	Y	N			Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
NLLT_02185		NLLT	19	NA	2001	pp229–281	p267	XXc	"ex:? Sie ging [PP ohne [nur [CP dass ICH wusste, warum]]].|she left without only that I knew why|She left without (only) me knowing why."	O	she	leave	S	A	F	S	N	Y			Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
NLLT_02186		NLLT	19	NA	2001	pp229–281	p269	XXc	"ex:Maria will kommen, auch wenn sie nicht eingeladen ist.|Maria wants come even if she not invited is|Maria wants to come, even if she is not invited."	O	Maria	want	S	A	F	S	Y	N	E		Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
										O	she	be invited	S	P	F	S	N	Y					
NLLT_02188		NLLT	19	NA	2001	pp229–281	p270	71	ex:Nur um welche Zeit wir GEGANGENF sind verraten wir nicht.|only at which time we left are tell we not|The only thing we don’t tell is at what time we left.	O											Constructed	file:B?ring-Hartmann2001_Article_TheSyntaxAndSemanticsOfFocus-S.html	
NLLT_01422		NLLT	19	NA	2001	pp503–548	p506	5	ex:John made Billi out [ti to be a fool].	E	John	make out	S	A	M	S	Y	N	E		Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
										E	Billi 	be	O	E	M	S	Y	N	E	Bill? (Billi seems odd)			
NLLT_01423		NLLT	19	NA	2001	pp503–548	p506	6a	ex:Mary made himi out [ti to be a fool].|?|b. Mary made out [him to be a fool].	E	Mary 	make out	S	A	F	S	Y	N	E		Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
											him	be	O	?	M	S	N	Y	E				
NLLT_01424		NLLT	19	NA	2001	pp503–548	p506	7a	ex:Mary picked himi up ti .|?|b. Mary picked up him.	O	Mary 	pick up	S	A	F	S	Y	N			Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
										O	him	pick up	O	P	M	S	N	Y					
NLLT_01425		NLLT	19	NA	2001	pp503–548	p508	16	ex:It is 3% likely that every coin will land heads.	E											Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
NLLT_01426		NLLT	19	NA	2001	pp503–548	p510	17	ex:No large Mersenne number was proven to be prime.	E											Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
NLLT_01427		NLLT	19	NA	2001	pp503–548	p510	19	ex:No one is certain to solve the problem.	E	no one	be certain	S	E	N	S	N	Y			Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
										E	no one 	solve	S	A	N	S	N	Y	B				
NLLT_01428		NLLT	19	NA	2001	pp503–548	p513	30	ex:No one seems to anyone to be absent from class today.	E	no one	seems	S	E	N	S	N	Y			Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
										E	no one	be absent	S	E	N	S	N	Y	B				
NLLT_01429		NLLT	19	NA	2001	pp503–548	p515	35	ex:A unicorn walked in and coughed.	E											Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
NLLT_01430		NLLT	19	NA	2001	pp503–548	p515	38	ex:Everybody who shows up is likely to be a psycholinguist.	E	everybody	show up	S	A	N	P	N	Y			Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
										E	everybody	likely	S	E	N	P	N	Y					
										E	everybody	be	S	E	N	P	N	Y	OB				
										E	psycholinguist	be	O/Q?	E	N	S	N	N	OB				
NLLT_01431		NLLT	19	NA	2001	pp503–548	p515	39	ex:The one who will show up is likely to be a psycholinguist.	E	one	show up	S	A	N	S	N	Y			Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
										E	one	likely	S	E	N	S	N	Y					
										E	one	be	S	E	N	S	N	Y	OB				
										E	psycholinguist	be	O/Q?	E	N	S	N	N	OB				
NLLT_01432		NLLT	19	NA	2001	pp503–548	p516	40	ex:Nobody is believed to be in the reactor room.	E	nobody	be believed	S	E	N	S	N	Y			Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
										E	nobody	be	S	E	N	S	N	Y	O				
NLLT_01433		NLLT	19	NA	2001	pp503–548	p516	41	ex:Exactly one person is likely to get an offer.	E	person	likely	S	E	N	S	Y	N			Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
										E	person	get	S	A	N	S	Y	N	O				
NLLT_01434		NLLT	19	NA	2001	pp503–548	p521	47	ex:Everybody who shows up is likely to be a psycholinguist.											same as 47	Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
NLLT_01435		NLLT	19	NA	2001	pp503–548	p521	49	ex:Pictures of himself frighten John.	E	John	frighten	O	P	M	S	Y	N	E		Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
										E	himself				M	S	N	Y	E	anaphor			
NLLT_01436		NLLT	19	NA	2001	pp503–548	p523	51	ex:Someone from New York is likely to win the lottery.	E	someone	likely	S	E	N	S	N	Y			Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
										E	someone	win	S	A	N	S	N	Y					
NLLT_01437		NLLT	19	NA	2001	pp503–548	p523	52	ex:e is likely someone from New York to win the lottery.	E	someone	win	S	A	N	S	N	Y			Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
NLLT_01439		NLLT	19	NA	2001	pp503–548	p531	66a	ex:? Wen hat niemand wo gesehen? German|who has nobody where seen|Where did nobody see who?	O	nobody	see	S	A	N	S	N	Y			Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
										O	who	see	O	P	N	S	N	Y					
NLLT_01440		NLLT	19	NA	2001	pp503–548	p533	71	ex:Billi seems to ti [John to be a genius].	E	Billi 	seem	S	E	M	S	Y	N			Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
										E	John	seem	Q 	E	M	S	Y	N					
										E	Billi 	be	S	E	M	S	Y	N	"B, S"				
NLLT_01441		NLLT	19	NA	2001	pp503–548	p533	72	ex:Theyi seem to himj [ti to like Johnk/? j ].	E	they	seem	S	E	N	P	N	Y			Constructed	file:Boeckx2001_Article_ScopeReconstructionAndA-Moveme.html	
										E	him	seem	Q 	E	M	S	N	Y					
										E	they	like	S	A	N	P	N	Y	E				
										E	John	like	O	E	M	S	Y	N	E				
NLLT_01889		NLLT	19	NA	2001	pp1–65	p5	XXb	ex:Hayi si Juan ha-sangan-i hao [f-um-a’gasi i kareta]|who UNM Juan E3S-say-DAT you WH.SU-wash the car|Who did Juan tell you washed the car?	O	Juan	tell	S	A	M	S	Y	N			Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
										O	who	wash	S	A	N	S	N	Y	O				
NLLT_01890		NLLT	19	NA	2001	pp1–65	p5	XXc	ex:Hafa um-istotba hao [ni malagao’-na i lahi-mu]|what WH.SU-disturb you COMP WH.OBL-want-3SG the son-your|What does it disturb you that your son wants?	O	son	want	S	A	M	S	N	Y	E		Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01891		NLLT	19	NA	2001	pp1–65	p9	7a	ex:llegué|pro arrive-1.SG|I arrived.	O											Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01892		NLLT	19	NA	2001	pp1–65	p9	7b	ex:llegó|pro arrive-3.SG|He/she arrived.	O	he/she	arrive	S	A	N	S	N	Y			Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01893		NLLT	19	NA	2001	pp1–65	p26	35a	ex:Shíl mé goN mbeadh sé ann|thought I PRT would-be he there|I thought that he would be there.	O	he	be	S	E	M	S	N	Y			Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01894		NLLT	19	NA	2001	pp1–65	p26	35b	ex:Dúirt mé gurL shíl mé goN mbeadh sé ann|said I goN+PAST thought I PRT would-be he there|I said that I thought that he would be there.	O	he	be	S	E	M	S	N	Y			Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01895		NLLT	19	NA	2001	pp1–65	p30	44	ex:Which violins are these sonatas easy to play on ?	O											Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01896		NLLT	19	NA	2001	pp1–65	p33	48a	ex:Marie en connaît la ?n.|Marie of-it knows the end|Marie knows the end of it.	O	Marie	knows	S	A	F	S	Y	N	B		Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01897		NLLT	19	NA	2001	pp1–65	p33	48b	ex:La ?n en est désagréable.|the end of-it is unpleasant|The end of it is unpleasant.	O											Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01898		NLLT	19	NA	2001	pp1–65	p33	49a	ex:J’ai écouté le garçon avec la clef.|I have heard the boy with the key|I heard the boy with the key.	O	boy	hear	O	P	M	S	N	N			Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01899		NLLT	19	NA	2001	pp1–65	p33	49b	"ex:*la clef j , avec laquelle j j’ai écouté le garçon...|the key with which I have heard the boy...|the key with which I heard the boy..."	O	boy	hear	O	P	M	S	N	N			Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01900		NLLT	19	NA	2001	pp1–65	p33	50a	ex:Marie lit la ?n du livre.|Marie reads the end of-the book|Marie is reading the end of the book.	O	Marie	read	S	A	F	S	Y	N	B		Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01901		NLLT	19	NA	2001	pp1–65	p33	50b	ex:le livre dont Marie lit la ?n...|the book of-which Marie reads the end...|the book of which Marie is reading the end...	O	Marie	read	S	A	F	S	Y	N	B		Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01902		NLLT	19	NA	2001	pp1–65	p33	50c	ex:La ?n du livre est désagréable.|the end of-the book is unpleasant|The end of the book is unpleasant.	O											Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01903		NLLT	19	NA	2001	pp1–65	p33	50d	ex:le livre dont la ?n est désagréable...|the book of-which the end is unpleasant...|the book of which the end is unpleasant...	O											Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01904		NLLT	19	NA	2001	pp1–65	p44	71	ex:Hei gets angry whenEVER the people Sandyi loves criticize him.	E	Hei	get angry	S	E	M	S	Y	N	E		Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
										E	Sandyi	love	S	A	U	S	Y	N	E				
										E	people	love	O	P	N	P	N	N	E	both subject and object?			
										E	people	criticize 	S	A	N	P	N	N	E				
										E	him	criticize 	O	P	M	S	N	Y	E				
NLLT_01905		NLLT	19	NA	2001	pp1–65	p45	73a	ex:Kim wondered how she could repair the sink.|b. This is the restaurant in which Kim and Sandy ?rst ordered|couscous.	E	Kim and Sandy	orer	S	A	F	P	Y	N			Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01906		NLLT	19	NA	2001	pp1–65	p50	84	ex:Taimänu malago’mu pära areklanña si Pedro ni kareta|how WH[OBL].want FUT WH[OBL].?x Pedro OBL car|How do you want Pedro to ?x the car?	O	Pedro	fix	S	A	M	S	Y	N	"O,S"		Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01907		NLLT	19	NA	2001	pp1–65	p52	87	ex:Who visits Alcatraz?	E	who	visit	S	A	N	S	N	Y			Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01908		NLLT	19	NA	2001	pp1–65	p58	98	ex:Tu a dit que/*qui cet homme est heureux.|you said that that man is happy|You said that this man is happy.	O	man	be	S	E	M	S	N	Y	E		Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_01909		NLLT	19	NA	2001	pp1–65	p58	99	ex:*L’homme que tu a dit que/qu’ est heureux...|the-man that you said that is happy...|the man that you said is happy...	O	man	be	S	E	M	S	N	Y	E		Constructed	file:Bouma2001_Article_SatisfyingConstraintsOnExtract.html	
NLLT_03001		NLLT	19	NA	2001	pp283–310	p285	3a	ex:Into the room Terry claims (? that) t walked a bunch of gorillas|b. Into which room does Terry claim (? that) t walked that bunch|of gorillas?	E	Terry	claim	S	A	M	S	Y	N			Constructed	file:Culicover-Levine2001_Article_StylisticInversionInEnglishARe.html	
										E	bunch of gorillas	walk	S	A	N	S	N	N					
NLLT_03002		NLLT	19	NA	2001	pp283–310	p290	3b	ex:? In no dog ’s cage was hanging on a hook its most attractive and expensive|i i|collari .	E											Constructed	file:Culicover-Levine2001_Article_StylisticInversionInEnglishARe.html	
NLLT_03003		NLLT	19	NA	2001	pp283–310	p290	3c	ex:? In no dog ’s cage its most attractive and expensive collar was hanging on a|i i|hook.	E											Constructed	file:Culicover-Levine2001_Article_StylisticInversionInEnglishARe.html	
NLLT_03004		NLLT	19	NA	2001	pp283–310	p292	XXe	ex:Into the room walked carefully the students in the class who had|heard about the social psych experiment that we were about to|perpetrate.	E	students	walk	S	A	N	P	N	N			Constructed	file:Culicover-Levine2001_Article_StylisticInversionInEnglishARe.html	
										E	who	hear	S	A	N	P	N	Y	B				
NLLT_03005		NLLT	19	NA	2001	pp283–310	p292	XXe	ex:I addressed carefully the students in the class who had heard|about the social psych experiment that we were about to|perpetrate.	E	students	address	O	P	N	P	N	N	O		Constructed	file:Culicover-Levine2001_Article_StylisticInversionInEnglishARe.html	
										E	who	hear	S	A	N	P	N	Y	B				
NLLT_03006		NLLT	19	NA	2001	pp283–310	p292	XXf	ex:I addressed the students in the class who had heard about|the social psych experiment that we were about to perpetrate|(extremely) carefully.	E	students	address	O	P	N	P	N	N	O		Constructed	file:Culicover-Levine2001_Article_StylisticInversionInEnglishARe.html	
										E	who	hear	S	A	N	P	N	Y	B				
NLLT_03007		NLLT	19	NA	2001	pp283–310	p293	XXe	ex:In the room slept ?tfully the students in the class who had|heard about the social psych experiment that we were about to|perpetrate.	E	students	sleep	S	A	N	P	N	N			Constructed	file:Culicover-Levine2001_Article_StylisticInversionInEnglishARe.html	
										E	who	hear	S	A	N	P	N	Y	B				
NLLT_03008		NLLT	19	NA	2001	pp283–310	p293	XXf	ex:In the room slept the students in the class who had heard about|the social psych experiment that we were about to perpetrate|(very) ?tfully.	E	students	sleep	S	A	N	P	N	N			Constructed	file:Culicover-Levine2001_Article_StylisticInversionInEnglishARe.html	
										E	who	hear	S	A	N	P	N	Y	B				
NLLT_03009		NLLT	19	NA	2001	pp283–310	p296	23a	ex:There slept ?tfully in the next room a group of the students in|the class who had heard about the social psych experiment that|we were about to perpetrate.	E	group ofstudents	sleep	S	A	N	S	N	N			Constructed	file:Culicover-Levine2001_Article_StylisticInversionInEnglishARe.html	
										E	who	hear	S	A	N	P	N	Y	B				
NLLT_03010		NLLT	19	NA	2001	pp283–310	p296	23b	ex:In the next room there slept ?tfully a group of the students in|the class who had heard about the social psych experiment that|we were about to perpetrate.	E	group ofstudents	sleep	S	A	N	S	N	N			Constructed	file:Culicover-Levine2001_Article_StylisticInversionInEnglishARe.html	
										E	who	hear	S	A	N	P	N	Y	B				
NLLT_03011		NLLT	19	NA	2001	pp283–310	p296	24a	ex:I expected Robin to walk into the room.|b. ? I expected t to walk Robin into the room/? I expected t to walk|into the room Robin.	E	Robin	walk	S	A	N	S	Y	N		ambiguous name	Constructed	file:Culicover-Levine2001_Article_StylisticInversionInEnglishARe.html	
NLLT_03012		NLLT	19	NA	2001	pp283–310	p308	XXc	ex:In the laboratory were dying their various horrible deaths|the more than ten thousand fruit ?ies that Dr. Zapp had|collected in his garden over the summer.	E	Dr. Zapp	collect	S	A	M	S	Y	N	"B, O"		Constructed	file:Culicover-Levine2001_Article_StylisticInversionInEnglishARe.html	
NLLT_03013		NLLT	19	NA	2001	pp283–310	p308	XXd	ex:Outside in the still upright hangar were heaving deep sighs|of relief the few remaining pilots who had not been chosen|to ?y in the worst hurricane since hurricanes had names.	E	pilots	heave	S	A	N	P	N	N	E		Constructed	file:Culicover-Levine2001_Article_StylisticInversionInEnglishARe.html	
										E	who	be chosen	S	P	N	P	N	N					
										E	who 	fly	S	A	N	P	N	N	O				
NLLT_06678		NLLT	19	NA	2001	pp67–107	p71	XXb	"ex:I sent a dozen second-hand toddlers’ pants to Kim before care-|fully examining them, and one full box of beanbag toys to Chris|before carefully examining them; etc."	E	toddler's				N	P	N	N		possessor	Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
										E	Kim	send	Q 	R	F	S	Y	N	S				
										E	Chris	send	Q 	R	N	S	Y	N		ambiguous name			
NLLT_06679		NLLT	19	NA	2001	pp67–107	p71	8a	ex:What did you send t to Sandy before carefully examining pg ?|b. Which parcel did you give t to the secretary without opening|pg ?	E	Sandy	send	Q 	R	F	S	Y	N			Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
										E	secretary	give	Q 	R	N	S	N	N	S				
NLLT_06680		NLLT	19	NA	2001	pp67–107	p73	8b	ex:¿ Que art´?culos asignaste a los estudiantes sin leer pg ?|what articles you-assigned to the students without to-read|What articles did you assign to the students without reading?	O	students	assign	Q 	R	N	P	N	N	B		Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
NLLT_06681		NLLT	19	NA	2001	pp67–107	p73	XXb	ex:Quelle photo as-tu donne a qui sans la regarder?|which photo have-you given to whom without it looking-at|Which photo have you given to whom without looking at it?	O	whom	give	Q 	R	N	S	N	Y	O		Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
NLLT_06682		NLLT	19	NA	2001	pp67–107	p73	14	ex:What did everyone buy for Alex?	E	everyone	buy	S	A	N	P	N	Y			Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
										E	Alex	buy	Q 	R	M	S	Y	N					
NLLT_06683		NLLT	19	NA	2001	pp67–107	p74	16a	ex:Who did everyone recommend (for the position)?|b. Who did everyone recommend (for the position) before inter-|viewing pg ?	E	who	recommend	O	P	N	S	N	Y	O		Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
										E	everyone	recommend	S	A	N	P	N	Y	O				
NLLT_06684		NLLT	19	NA	2001	pp67–107	p74	16b	ex:Kim recommended Maura Cardwell before interviewing her;|Chris recommended Richard Neiman before interviewing him;|etc.	E	Kim	recommend	S	A	F	S	Y	N	O		Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
										E	Kim	interview	S	A	F	S	Y	N	O				
										E	Maura Caldwell	recommend	O	P	F	S	Y	N	O				
										E	her	interview	O	P	F	S	Y	N	O				
										E	Chris	recommend	S	A	M	S	Y	N	O				
										E 	Richard Neiman	recommend	O	P	M	S	Y	N	O				
										E	Chris	interview	S	A	M	S	Y	N	O				
										E	him	interview	O	P	M	S	Y	N	O				
NLLT_06685		NLLT	19	NA	2001	pp67–107	p74	18a	ex:I know which paper you sent to every student.|b. I know which paper you sent to every student without reading|pg .	E	student	send	Q 	R	N	S	N	N	B 		Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
NLLT_06686		NLLT	19	NA	2001	pp67–107	p75	19	ex:Which student bought which book?	E	student	buy	S	A	N	S	N	N	B		Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
NLLT_06687		NLLT	19	NA	2001	pp67–107	p79	32a	ex:Who did everyone recommend (for the position)?|b. Who did everyone recommend (for the position) before inter-|viewing pg ?	E	who	recommend	O	P	N	S	N	Y	O	same as 06684	Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
										E	everyone	recommend	S	A	N	P	N	Y	O				
NLLT_06688		NLLT	19	NA	2001	pp67–107	p81	37	ex:John ?led every article without reading pg .	E	John	file	S	A	M	S	Y	N	BO		Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
NLLT_06689		NLLT	19	NA	2001	pp67–107	p84	43a	"ex:If a man owns a donkey, he always beats it.|b. For every man and every donkey such that the former owns the|latter, he beats it."	E	man	own	S	A	M	S	N	N	O		Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
										E	donkey 	own	O	P	N	S	N	N					
										E	he	beat	S	A	M	S	N	Y	V				
										E	it	beat	O	A	N	S	N	Y	V	"""former"" and ""latter""?"			
NLLT_06690		NLLT	19	NA	2001	pp67–107	p87	49a	ex:John offended t by not mentioning the fact that the committee|had elected pg provost – the famous physicist who won a Nobel|prize.	E	John	offend	S	A	M	S	Y	N	E	"""t""?"	Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
										E	physicist	offend	O	P	N	S	N	N	E				
										E	John	mention	S	A	M	S	Y	N	B				
										E 	provost	elect	O	P	N	S	N	N	BO				
										E	who	win	S	A	N	S	N	Y	BO	relative clause			
NLLT_06691		NLLT	19	NA	2001	pp67–107	p87	49b	"ex:? [The famous physicist who won a Nobel prize], John offended|t by not mentioning the fact that the committee had elected pg|provost."	E	John	offend	S	A	M	S	Y	N	E		Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
										E	physicist	offend	O	P	N	S	N	N	E				
										E 	who 	win	S	A	N	S	N	Y	BO				
										E	John	mention	S	A	M	S	Y	N	B				
										E	provost	elect	O	P	N	S	N	N	BO				
NLLT_06692		NLLT	19	NA	2001	pp67–107	p88	51a	ex:Hij heeft deze artikelen [zonder pg te lezen] opgeborgen.|he has these articles without to read ?led|He has ?led these articles without reading them.	O	he	file	S	A	M	S	N	Y	BO		Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
										O	he	read	S	A	M	S	N	Y	B				
NLLT_06693		NLLT	19	NA	2001	pp67–107	p91	54a	ex:Was glaubst Hans mit wem Jakob jetzt spricht?|what believes Hans with whom Jakob now speaks|With whom does Hans think Jakob is now speaking?	O	Hans	think	S	A	M	S	Y	N			Constructed	file:Kim2001_Article_ChainCompositionAndUniformity.html	
										O	Jakob	speak	S	A	M	S	Y	N					
										O	whom	speak	Q 	E	N	S	N	Y		not sure if argument			
