ExampleID	Coder	Journal	Vol	No	Year	Pages	ExPg	ExNo	Example Sentence	Language	Argument	Predicate	GramFunction	ThetaRole	Gender	Number	Name?	Pronoun?	Content	Comments	ExType	Filename																																																																																																																																																																																																																																									
NLLT_00931		NLLT	29	NA	2011	pp875–915	p893	28b	ex:Kini ehigi-ni kyajtar-dy-gyt dien isti-bit. (NV: 364)|he you-ACC become.defeated-PAST-2pS that hear-PAST.3sS|‘He heard that you (plural) lost.’	O	He	hear	S	E	M	S	N	Y			Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00932		NLLT	29	NA	2011	pp875–915	p893	28c	ex:Ehigi bihigi-ni kyajtar-dy-byt dien xomoj-du-gut.|you we-ACC lose-PAST-1pS that become.sad-PAST-2pS|‘You (plural) were disappointed that we lost.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00933		NLLT	29	NA	2011	pp875–915	p894	28d	ex:Masha ejiigin yaldj-ya- dien tönün-ne. (NV: 369)|Masha you.ACC fall.sick-FUT-2sS that return-PAST.3sS|‘Masha returned for fear that you (singular) would fall sick.’	O	Masha	return	S	A	U	S	Y	N	E		Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00934		NLLT	29	NA	2011	pp875–915	p894	29	ex:Min [sarsyn ehigi-(*ni) kel-iex-xit dien] ihit-ti-m.|I(NOM) tomorrow you-(*ACC) come-FUT-2pS that hear-PAST-1sS|‘I heard that tomorrow you (plural) will come.’ (compare (28a))	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00935		NLLT	29	NA	2011	pp875–915	p894	30	"ex:If there are two distinct argumental NPs in the same phase such that NP1|c-commands NP2, then value the case feature of NP2 as accusative unless|NP1 has already been marked for case."												Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00936		NLLT	29	NA	2011	pp875–915	p895	31a	ex:Min ehigi-ni bügün kyaj-yax-tara dien erem-mit-im. (NV: 361)|I you-ACC today win-FUT-(3)pS that hope-PAST-1sS|‘I hoped that you (plural) would win today.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00937		NLLT	29	NA	2011	pp875–915	p895	31b	ex:Kini ehigi-ni kyajtar-dy-lar dien isti-bit. (NV:364)|he you-ACC become.defeated-PAST-3pS that hear-PAST.3sS|‘He heard that you (plural) lost.’	O	He	hear	S	E	M	S	N	Y			Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00938		NLLT	29	NA	2011	pp875–915	p895	31c	ex:Ehigi bihigi-ni kyajtar-dy-lar dien xomoj-du-gut.|you we-ACC lose-PAST-3pS that become.sad-PAST-2pS|‘You were disappointed that we lost.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00939		NLLT	29	NA	2011	pp875–915	p895	31d	ex:Masha ejiigin yaldj-ya dien tönün-ne. (NV:369)|Masha you.ACC fall.sick-FUT.3sS that return-PAST.3sS|‘Masha returned for fear that you would fall sick.’	O	Masha	return	S	A	U	S	Y	N	E		Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00940		NLLT	29	NA	2011	pp875–915	p897	33	ex:Masha bügün ehigi massyyna atyylas-pyk-kyt-yn ihit-te.|Masha today you car buy-PTPL-2pS-ACC hear-PAST.3sS|‘Masha heard that you (plural) bought a car today.’	O	Masha	hear	S	E	U	S	Y	N			Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00941		NLLT	29	NA	2011	pp875–915	p898	34a	ex:Masha ehigi-ni bügün massyyna atyylas-pyk-kyt-yn ihit-te.|Masha you-ACC today car buy-PTPL-2pS-ACC hear-PAST.3sS|‘Masha heard (of you) that you (plural) bought a car today.’	O	Masha	hear	S	E	U	S	Y	N			Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00942		NLLT	29	NA	2011	pp875–915	p898	34b	ex:Min kim-i daqany kyaj-bataq-yn ihit-ti-m.|I who-ACC PRT win-NEG.PTPL-3sP.ACC hear-PAST-1sS|‘I heard that nobody won (the lottery).’	O	nobody	win	S	R	N	S	N	N		"Not sure if ""nobody"" should be coded."	Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00943		NLLT	29	NA	2011	pp875–915	p898	35	ex:* Masha ehigi-ni bügün massyyna atyylas-pyt-tar-yn ihit-te.|Masha you-ACC today car buy-PTPL-(3)pS-ACC hear-PAST.3sS|‘Masha heard (of you) that you (plural) bought a car today.’	O	Masha	hear	S	E	U	S	Y	N			Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00944		NLLT	29	NA	2011	pp875–915	p898	36a	ex:En aaq-a-qyn. (NV: 220)|you read-AOR-2sS|‘You (singular) read.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00945		NLLT	29	NA	2011	pp875–915	p898	36b	ex:En aaq-ar-y bil-l-er. (NV: 222)|you read-AOR-2sP know-PASS-AOR.3sS|‘It is known that you (singular) read.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00946		NLLT	29	NA	2011	pp875–915	p898	36c	ex:aaq-ar kinige- (* aaq-a-qyn kinige) (B&V 2010)|read-AOR book-2sP read-AOR-2sS book|‘the book that you read’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00947		NLLT	29	NA	2011	pp875–915	p900	38a	"ex:Okon a-yem [Emem a-si-nam]. (Aspect highest, Subject|Okon 3sS-want Emem 3sS-IMPF-do in SpecAspP)|‘Okon wants Emem to be doing it.’"	O	Okon	want	S	A	U	S	Y	N			Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
										O	Emem	do	S	A	U	S	Y	N		"Not sure how to handle the object of ""want"""	Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00948		NLLT	29	NA	2011	pp875–915	p900	38b	"ex:Okon a-yaa-si-nam. (Tense highest, Subject in SpecTP)|Okon 3sS-FUT-IMPF-do|‘Okon will be doing it.’"	O	Okon	do	S	A	U	S	Y	N			Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00949		NLLT	29	NA	2011	pp875–915	p900	38c	"ex:Okon a-kpa-ke-si-ka. (Mood highest, Subject|Okon 3sS-COND-PAST-IMPF-go in SpecMoodP)|‘Okon would have been going.’"	O	Okon	go	S	A	U	S	Y	N			Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00950		NLLT	29	NA	2011	pp875–915	p901	40a	ex:Bügün [sarsyn ehigi kyaj-yax-xyt dien] cuolkaj buolla.|today tomorrow you.PL win-FUT-2pS that clear become|‘It became clear today that you (plural) will win tomorrow.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00951		NLLT	29	NA	2011	pp875–915	p901	40b	ex:Beqehee [sarsyn ehigi kyaj-yax-xyt dien] iteqej-ili-ne.|yesterday tomorrow you.PL win-FUT-2pS that believe-PASS-PAST.3sS|‘Yesterday it was believed that you (plural) would win tomorrow.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00952		NLLT	29	NA	2011	pp875–915	p901	41a	ex:Ehigi (bügün) [sarsyn kyaj-yax-xyt dien] cuolkaj buolla.|you.PL today tomorrow win-FUT-2pS that clear become|‘It became clear (today) that you (plural) will win tomorrow.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00953		NLLT	29	NA	2011	pp875–915	p901	41b	ex:?? Ehigi (beqehee) [saryn kyaj-yax-xyt dien] iteqej-ili-ne.|you.PL yesterday tomorrow win-FUT-2pS that believe-PASS-PAST.3sS|‘It was believed (of you) (yesterday) that you (plural) would win tomorrow.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00954		NLLT	29	NA	2011	pp875–915	p901	42a	ex:* Ehigi (bügün) [sarsyn kyaj-yax-tara dien] cuolkaj buolla.|you-PL today tomorrow win-FUT-3pS that clear become|‘It became clear (today) that you (plural) will win tomorrow.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00955		NLLT	29	NA	2011	pp875–915	p901	42b	ex:** Ehigi (beqehee) [saryn kyaj-yax-tara dien] iteqej-ili-ne.|you.PL yesterday tomorrow win-FUT-3pS that believe-PASS-PAST.3sS|‘It was believed (of you) (yesterday) that you (plural) would win tomorrow.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00956		NLLT	29	NA	2011	pp875–915	p902	43	ex:Oqo-lor (bügün) [beqehee kyaj-byt-*(tar)a dien] cuolkaj buolla-(*lar).|child-PL today yesterday win-PAST-3(p)S that clear become-3pS|‘Today it became clear that the children won yesterday.’	O	children	win	S	A	N	P	N	N			Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00957		NLLT	29	NA	2011	pp875–915	p902	44	ex:F values the case feature of DP only if F agrees with all DP’s marked features.												Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00958		NLLT	29	NA	2011	pp875–915	p903	45a	ex:Ucuutal-ga student-nar tiij-bet-ter.|teacher-DAT student-PL suf?ce-NEG.AOR-3pS|‘The teacher doesn’t have enough students.’	O	teacher	have	S	A	N	S	N	N	O		Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00959		NLLT	29	NA	2011	pp875–915	p903	45b	ex:Masha-qa oqo-lor/? kini-ler yyt-ylyn-ny-lar.|Masha-DAT child-PL/them-PL send-PASS-PAST-3pS|‘Masha was sent children/them.’	O	Masha	send	S	R	U	S	Y	N	O		Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00960		NLLT	30	NA	2012	pp875–916	p904	45b	ex:Masha-qa oqo-lor/? kini-ler yyt-ylyn-ny-lar.|Masha-DAT child-PL/them-PL send-PASS-PAST-3pS|‘Masha was sent children/them.’	O	children	send	O	P	N	P	N	N	O		Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00960		NLLT	29	NA	2011	pp875–915	p903	46a	ex:??/#Ucuutal-ga bihigi tiij-bep-pit.|teacher-DAT we.NOM suf?ce-NEG-AOR-1pS|‘The teacher doesn’t have enough of us.’	O	teacher	have	S	A	N	S	N	N	O		Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00961		NLLT	29	NA	2011	pp875–915	p903	46b	ex:?? Masha-qa ehigi yyt-ylyn-ny-gyt.|Masha-DAT you.PL.NOM send-PASS-PAST-2pS|‘Masha was sent you.’	O	Masha	send	S	R	U	S	Y	N			Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00962		NLLT	29	NA	2011	pp875–915	p904	47a	ex:* Ucuutal-ga bihigi tiij-bet-ter.|teacher-DAT we.NOM suf?ce-NEG-AOR-3pS|‘The teacher misses/doesn’t have enough of us.’	O	teacher	miss/have	S	E	N	S	N	N	O		Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00963		NLLT	29	NA	2011	pp875–915	p904	47b	ex:* Masha-qa ehigi yyt-ylyn-ny-lar.|Masha-DAT you.PL.NOM send-PASS-PAST-3pS|‘Masha was sent you.’	O	Masha	send	S	P	U	S	Y	N			Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00964		NLLT	29	NA	2011	pp875–915	p905	48	ex:Min ehigi-ni biligin [Masha-qa yyt-yll-yax-tara dien] eren-e-bin.|I you.PL-ACC now Masha-DAT send-PASS-FUT-3pS that hope-AOR-1sS|‘I now hope (about you) that Masha will be sent you.’	O	Masha	send	S	P	U	S	Y	N			Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00965		NLLT	29	NA	2011	pp875–915	p905	49	ex:* Min Masha-qa biligin [ehigi yyt-yll-yax-tara dien] eren-e-bin.|I Masha-DAT now you.NOM send-PASS-FUT-3pS that hope-AOR-1sS|‘I now hope (about Masha) that Masha will be sent you.’	O	Masha	send	S	P	U	S	Y	N			Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00966		NLLT	29	NA	2011	pp875–915	p905	50	ex:Nosotras somos gord-as.|we.F.PL are.1pS fat-F.PL|‘We are fat.’	O										"not 3rd person, but gendered"	Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00967		NLLT	29	NA	2011	pp875–915	p906	51a	ex:Ma jel n om s-l- m. (Intransitive subject agreement)|I at.home sit-PRES-1sS|‘I am sitting at home.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00968		NLLT	29	NA	2011	pp875–915	p907	51b	ex:Ma t? am k? alaN wel-s-Ø-em. (Agreement with number of object)|I this reindeer kill-PAST-sO-1sS|‘I killed this reindeer.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00969		NLLT	29	NA	2011	pp875–915	p907	51c	ex:Ma t? am k? alaN wel-s -Nil-am.|I this reindeer kill-PAST-dO-1sS|‘I killed these (two) reindeer.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00970		NLLT	29	NA	2011	pp875–915	p907	51d	ex:Ma t? am k? alaN wel-s -l-am.|I this reindeer kill-PAST-pO-1sS|‘I killed these reindeer.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
NLLT_00971		NLLT	29	NA	2011	pp875–915	p907	52a	ex:Ma n? aN-en wan-s-Ø-em. (agreement = (51b))|I you-ACC see-PAST-sO-1sS|‘I saw you.’	O											Constructed	file:Baker2011_Article_WhenAgreementIsForNumberAndGen.html																																																																																																																																																																																																																																									
