"","X","ID","Item","Answer","NotAns","Cat","Col","NonNative","ForeignLang","Most","Number","Yes","Acc.Fil","Acc.Mtn","NotAll","LowAcc","LowMtn","C2.Weber","C3.Weber","Blue","Non.Blue","Yellow","PropTC","SupTC"
"33",69,"A1W8NQVJB92ZSO","Answer.3C_Unbal.6",TRUE,0,"3C_Unbal",3,0,1,1,6,1,91.7,100,0,0,0,1.1,1.22,11,10,9,1,1
"34",70,"A1W8NQVJB92ZSO","Answer.3C_Unbal.7",TRUE,0,"3C_Unbal",3,0,1,1,7,1,91.7,100,0,0,0,1.22,1.38,11,9,8,1,1
"35",71,"A1W8NQVJB92ZSO","Answer.3C_Unbal.8",TRUE,0,"3C_Unbal",3,0,1,1,8,1,91.7,100,0,0,0,1.33,1.5,12,9,8,1,1
"36",72,"A1W8NQVJB92ZSO","Answer.3C_Unbal.9",TRUE,0,"3C_Unbal",3,0,1,1,9,1,91.7,100,0,0,0,1.5,1.71,12,8,7,1,1
"37",73,"A164RBTU9AO3G7","Answer.2C.1",FALSE,0,"2C",2,0,0,1,1,0,93.1,100,0,0,0,0.67,0.67,8,12,12,0,0
"38",74,"A164RBTU9AO3G7","Answer.2C.2",FALSE,0,"2C",2,0,0,1,2,0,93.1,100,0,0,0,0.75,0.75,9,12,12,0,0
"39",75,"A164RBTU9AO3G7","Answer.2C.3",FALSE,0,"2C",2,0,0,1,3,0,93.1,100,0,0,0,0.82,0.82,9,11,11,0,0
"40",76,"A164RBTU9AO3G7","Answer.2C.4",FALSE,0,"2C",2,0,0,1,4,0,93.1,100,0,0,0,0.91,0.91,10,11,11,0,0
"41",77,"A164RBTU9AO3G7","Answer.2C.5",FALSE,0,"2C",2,0,0,1,5,0,93.1,100,0,0,0,1,1,10,10,10,0,0
"42",78,"A164RBTU9AO3G7","Answer.2C.6",FALSE,0,"2C",2,0,0,1,6,0,93.1,100,0,0,0,1.1,1.1,11,10,10,1,1
"43",79,"A164RBTU9AO3G7","Answer.2C.7",FALSE,0,"2C",2,0,0,1,7,0,93.1,100,0,0,0,1.22,1.22,11,9,9,1,1
"44",80,"A164RBTU9AO3G7","Answer.2C.8",FALSE,0,"2C",2,0,0,1,8,0,93.1,100,0,0,0,1.33,1.33,12,9,9,1,1
"45",81,"A164RBTU9AO3G7","Answer.2C.9",FALSE,0,"2C",2,0,0,1,9,0,93.1,100,0,0,0,1.5,1.5,12,8,8,1,1
"46",82,"A164RBTU9AO3G7","Answer.3C_Bal.1",FALSE,0,"3C_Bal",3,0,0,1,1,0,93.1,100,0,0,0,0.67,1.33,8,12,6,0,1
"47",83,"A164RBTU9AO3G7","Answer.3C_Bal.2",FALSE,0,"3C_Bal",3,0,0,1,2,0,93.1,100,0,0,0,0.75,1.5,9,12,6,0,1
"48",84,"A164RBTU9AO3G7","Answer.3C_Bal.3",FALSE,0,"3C_Bal",3,0,0,1,3,0,93.1,100,0,0,0,0.82,1.5,9,11,6,0,1
"49",85,"A164RBTU9AO3G7","Answer.3C_Bal.4",FALSE,0,"3C_Bal",3,0,0,1,4,0,93.1,100,0,0,0,0.91,1.67,10,11,6,0,1
"50",86,"A164RBTU9AO3G7","Answer.3C_Bal.5",FALSE,0,"3C_Bal",3,0,0,1,5,0,93.1,100,0,0,0,1,1.67,10,10,6,0,1
"51",87,"A164RBTU9AO3G7","Answer.3C_Bal.6",FALSE,0,"3C_Bal",3,0,0,1,6,0,93.1,100,0,0,0,1.1,2.2,11,10,5,1,1
"52",88,"A164RBTU9AO3G7","Answer.3C_Bal.7",FALSE,0,"3C_Bal",3,0,0,1,7,0,93.1,100,0,0,0,1.22,2.2,11,9,5,1,1
"53",89,"A164RBTU9AO3G7","Answer.3C_Bal.8",TRUE,0,"3C_Bal",3,0,0,1,8,1,93.1,100,0,0,0,1.33,2.4,12,9,5,1,1
"54",90,"A164RBTU9AO3G7","Answer.3C_Bal.9",TRUE,0,"3C_Bal",3,0,0,1,9,1,93.1,100,0,0,0,1.5,3,12,8,4,1,1
"55",91,"A164RBTU9AO3G7","Answer.3C_Mild.1",FALSE,0,"3C_Mild",3,0,0,1,1,0,93.1,100,0,0,0,0.67,0.89,8,12,9,0,0
"56",92,"A164RBTU9AO3G7","Answer.3C_Mild.2",FALSE,0,"3C_Mild",3,0,0,1,2,0,93.1,100,0,0,0,0.75,1,9,12,9,0,0
"57",93,"A164RBTU9AO3G7","Answer.3C_Mild.3",FALSE,0,"3C_Mild",3,0,0,1,3,0,93.1,100,0,0,0,0.82,1.13,9,11,8,0,1
"58",94,"A164RBTU9AO3G7","Answer.3C_Mild.4",FALSE,0,"3C_Mild",3,0,0,1,4,0,93.1,100,0,0,0,0.91,1.25,10,11,8,0,1
"59",95,"A164RBTU9AO3G7","Answer.3C_Mild.5",FALSE,0,"3C_Mild",3,0,0,1,5,0,93.1,100,0,0,0,1,1.42,10,10,7,0,1
"60",96,"A164RBTU9AO3G7","Answer.3C_Mild.6",FALSE,0,"3C_Mild",3,0,0,1,6,0,93.1,100,0,0,0,1.1,1.57,11,10,7,1,1
"61",97,"A164RBTU9AO3G7","Answer.3C_Mild.7",FALSE,0,"3C_Mild",3,0,0,1,7,0,93.1,100,0,0,0,1.22,1.83,11,9,6,1,1
"62",98,"A164RBTU9AO3G7","Answer.3C_Mild.8",TRUE,0,"3C_Mild",3,0,0,1,8,1,93.1,100,0,0,0,1.33,1.71,12,9,7,1,1
"63",99,"A164RBTU9AO3G7","Answer.3C_Mild.9",TRUE,0,"3C_Mild",3,0,0,1,9,1,93.1,100,0,0,0,1.5,2,12,8,6,1,1
"64",100,"A164RBTU9AO3G7","Answer.3C_Unbal.1",FALSE,0,"3C_Unbal",3,0,0,1,1,0,93.1,100,0,0,0,0.67,0.73,8,12,11,0,0
"65",101,"A164RBTU9AO3G7","Answer.3C_Unbal.2",FALSE,0,"3C_Unbal",3,0,0,1,2,0,93.1,100,0,0,0,0.75,0.86,9,12,11,0,0
"66",102,"A164RBTU9AO3G7","Answer.3C_Unbal.3",FALSE,0,"3C_Unbal",3,0,0,1,3,0,93.1,100,0,0,0,0.82,0.9,9,11,10,0,0
"67",103,"A164RBTU9AO3G7","Answer.3C_Unbal.4",FALSE,0,"3C_Unbal",3,0,0,1,4,0,93.1,100,0,0,0,0.91,1,10,11,10,0,0
"68",104,"A164RBTU9AO3G7","Answer.3C_Unbal.5",FALSE,0,"3C_Unbal",3,0,0,1,5,0,93.1,100,0,0,0,1,1.11,10,10,9,0,1
"69",105,"A164RBTU9AO3G7","Answer.3C_Unbal.6",FALSE,0,"3C_Unbal",3,0,0,1,6,0,93.1,100,0,0,0,1.1,1.22,11,10,9,1,1
"70",106,"A164RBTU9AO3G7","Answer.3C_Unbal.7",FALSE,0,"3C_Unbal",3,0,0,1,7,0,93.1,100,0,0,0,1.22,1.38,11,9,8,1,1
"71",107,"A164RBTU9AO3G7","Answer.3C_Unbal.8",FALSE,0,"3C_Unbal",3,0,0,1,8,0,93.1,100,0,0,0,1.33,1.5,12,9,8,1,1
"72",108,"A164RBTU9AO3G7","Answer.3C_Unbal.9",FALSE,0,"3C_Unbal",3,0,0,1,9,0,93.1,100,0,0,0,1.5,1.71,12,8,7,1,1
"73",109,"A4VFHWCOAWGVD","Answer.2C.1",FALSE,0,"2C",2,0,0,1,1,0,66.7,75,0,1,0,0.67,0.67,8,12,12,0,0
"74",110,"A4VFHWCOAWGVD","Answer.2C.2",FALSE,0,"2C",2,0,0,1,2,0,66.7,75,0,1,0,0.75,0.75,9,12,12,0,0
"75",111,"A4VFHWCOAWGVD","Answer.2C.3",FALSE,0,"2C",2,0,0,1,3,0,66.7,75,0,1,0,0.82,0.82,9,11,11,0,0
"76",112,"A4VFHWCOAWGVD","Answer.2C.4",TRUE,0,"2C",2,0,0,1,4,1,66.7,75,0,1,0,0.91,0.91,10,11,11,0,0
"77",113,"A4VFHWCOAWGVD","Answer.2C.5",TRUE,0,"2C",2,0,0,1,5,1,66.7,75,0,1,0,1,1,10,10,10,0,0
"78",114,"A4VFHWCOAWGVD","Answer.2C.6",TRUE,0,"2C",2,0,0,1,6,1,66.7,75,0,1,0,1.1,1.1,11,10,10,1,1
"79",115,"A4VFHWCOAWGVD","Answer.2C.7",TRUE,0,"2C",2,0,0,1,7,1,66.7,75,0,1,0,1.22,1.22,11,9,9,1,1
"80",116,"A4VFHWCOAWGVD","Answer.2C.8",FALSE,0,"2C",2,0,0,1,8,0,66.7,75,0,1,0,1.33,1.33,12,9,9,1,1
"81",117,"A4VFHWCOAWGVD","Answer.2C.9",TRUE,0,"2C",2,0,0,1,9,1,66.7,75,0,1,0,1.5,1.5,12,8,8,1,1
"82",118,"A4VFHWCOAWGVD","Answer.3C_Bal.1",FALSE,0,"3C_Bal",3,0,0,1,1,0,66.7,75,0,1,0,0.67,1.33,8,12,6,0,1
"83",119,"A4VFHWCOAWGVD","Answer.3C_Bal.2",TRUE,0,"3C_Bal",3,0,0,1,2,1,66.7,75,0,1,0,0.75,1.5,9,12,6,0,1
"84",120,"A4VFHWCOAWGVD","Answer.3C_Bal.3",FALSE,0,"3C_Bal",3,0,0,1,3,0,66.7,75,0,1,0,0.82,1.5,9,11,6,0,1
"85",121,"A4VFHWCOAWGVD","Answer.3C_Bal.4",FALSE,0,"3C_Bal",3,0,0,1,4,0,66.7,75,0,1,0,0.91,1.67,10,11,6,0,1
"86",122,"A4VFHWCOAWGVD","Answer.3C_Bal.5",FALSE,0,"3C_Bal",3,0,0,1,5,0,66.7,75,0,1,0,1,1.67,10,10,6,0,1
"87",123,"A4VFHWCOAWGVD","Answer.3C_Bal.6",TRUE,0,"3C_Bal",3,0,0,1,6,1,66.7,75,0,1,0,1.1,2.2,11,10,5,1,1
"88",124,"A4VFHWCOAWGVD","Answer.3C_Bal.7",FALSE,0,"3C_Bal",3,0,0,1,7,0,66.7,75,0,1,0,1.22,2.2,11,9,5,1,1
"89",125,"A4VFHWCOAWGVD","Answer.3C_Bal.8",FALSE,0,"3C_Bal",3,0,0,1,8,0,66.7,75,0,1,0,1.33,2.4,12,9,5,1,1
"90",126,"A4VFHWCOAWGVD","Answer.3C_Bal.9",TRUE,0,"3C_Bal",3,0,0,1,9,1,66.7,75,0,1,0,1.5,3,12,8,4,1,1
"91",127,"A4VFHWCOAWGVD","Answer.3C_Mild.1",TRUE,0,"3C_Mild",3,0,0,1,1,1,66.7,75,0,1,0,0.67,0.89,8,12,9,0,0
"92",128,"A4VFHWCOAWGVD","Answer.3C_Mild.2",FALSE,0,"3C_Mild",3,0,0,1,2,0,66.7,75,0,1,0,0.75,1,9,12,9,0,0
"93",129,"A4VFHWCOAWGVD","Answer.3C_Mild.3",TRUE,0,"3C_Mild",3,0,0,1,3,1,66.7,75,0,1,0,0.82,1.13,9,11,8,0,1
"94",130,"A4VFHWCOAWGVD","Answer.3C_Mild.4",TRUE,0,"3C_Mild",3,0,0,1,4,1,66.7,75,0,1,0,0.91,1.25,10,11,8,0,1
"95",131,"A4VFHWCOAWGVD","Answer.3C_Mild.5",TRUE,0,"3C_Mild",3,0,0,1,5,1,66.7,75,0,1,0,1,1.42,10,10,7,0,1
"96",132,"A4VFHWCOAWGVD","Answer.3C_Mild.6",FALSE,0,"3C_Mild",3,0,0,1,6,0,66.7,75,0,1,0,1.1,1.57,11,10,7,1,1
"97",133,"A4VFHWCOAWGVD","Answer.3C_Mild.7",FALSE,0,"3C_Mild",3,0,0,1,7,0,66.7,75,0,1,0,1.22,1.83,11,9,6,1,1
"98",134,"A4VFHWCOAWGVD","Answer.3C_Mild.8",TRUE,0,"3C_Mild",3,0,0,1,8,1,66.7,75,0,1,0,1.33,1.71,12,9,7,1,1
"99",135,"A4VFHWCOAWGVD","Answer.3C_Mild.9",TRUE,0,"3C_Mild",3,0,0,1,9,1,66.7,75,0,1,0,1.5,2,12,8,6,1,1
"100",136,"A4VFHWCOAWGVD","Answer.3C_Unbal.1",FALSE,0,"3C_Unbal",3,0,0,1,1,0,66.7,75,0,1,0,0.67,0.73,8,12,11,0,0
"101",137,"A4VFHWCOAWGVD","Answer.3C_Unbal.2",FALSE,0,"3C_Unbal",3,0,0,1,2,0,66.7,75,0,1,0,0.75,0.86,9,12,11,0,0
"102",138,"A4VFHWCOAWGVD","Answer.3C_Unbal.3",FALSE,0,"3C_Unbal",3,0,0,1,3,0,66.7,75,0,1,0,0.82,0.9,9,11,10,0,0
"103",139,"A4VFHWCOAWGVD","Answer.3C_Unbal.4",FALSE,0,"3C_Unbal",3,0,0,1,4,0,66.7,75,0,1,0,0.91,1,10,11,10,0,0
"104",140,"A4VFHWCOAWGVD","Answer.3C_Unbal.5",FALSE,0,"3C_Unbal",3,0,0,1,5,0,66.7,75,0,1,0,1,1.11,10,10,9,0,1
"105",141,"A4VFHWCOAWGVD","Answer.3C_Unbal.6",TRUE,0,"3C_Unbal",3,0,0,1,6,1,66.7,75,0,1,0,1.1,1.22,11,10,9,1,1
"106",142,"A4VFHWCOAWGVD","Answer.3C_Unbal.7",TRUE,0,"3C_Unbal",3,0,0,1,7,1,66.7,75,0,1,0,1.22,1.38,11,9,8,1,1
"107",143,"A4VFHWCOAWGVD","Answer.3C_Unbal.8",FALSE,0,"3C_Unbal",3,0,0,1,8,0,66.7,75,0,1,0,1.33,1.5,12,9,8,1,1
"108",144,"A4VFHWCOAWGVD","Answer.3C_Unbal.9",FALSE,0,"3C_Unbal",3,0,0,1,9,0,66.7,75,0,1,0,1.5,1.71,12,8,7,1,1
"109",145,"A2BWD56OAENASS","Answer.2C.1",FALSE,0,"2C",2,0,0,1,1,0,91.7,100,0,0,0,0.67,0.67,8,12,12,0,0
"110",146,"A2BWD56OAENASS","Answer.2C.2",FALSE,0,"2C",2,0,0,1,2,0,91.7,100,0,0,0,0.75,0.75,9,12,12,0,0
"111",147,"A2BWD56OAENASS","Answer.2C.3",FALSE,0,"2C",2,0,0,1,3,0,91.7,100,0,0,0,0.82,0.82,9,11,11,0,0
"112",148,"A2BWD56OAENASS","Answer.2C.4",FALSE,0,"2C",2,0,0,1,4,0,91.7,100,0,0,0,0.91,0.91,10,11,11,0,0
"113",149,"A2BWD56OAENASS","Answer.2C.5",FALSE,0,"2C",2,0,0,1,5,0,91.7,100,0,0,0,1,1,10,10,10,0,0
"114",150,"A2BWD56OAENASS","Answer.2C.6",TRUE,0,"2C",2,0,0,1,6,1,91.7,100,0,0,0,1.1,1.1,11,10,10,1,1
"115",151,"A2BWD56OAENASS","Answer.2C.7",TRUE,0,"2C",2,0,0,1,7,1,91.7,100,0,0,0,1.22,1.22,11,9,9,1,1
"116",152,"A2BWD56OAENASS","Answer.2C.8",TRUE,0,"2C",2,0,0,1,8,1,91.7,100,0,0,0,1.33,1.33,12,9,9,1,1
"117",153,"A2BWD56OAENASS","Answer.2C.9",TRUE,0,"2C",2,0,0,1,9,1,91.7,100,0,0,0,1.5,1.5,12,8,8,1,1
"118",154,"A2BWD56OAENASS","Answer.3C_Bal.1",FALSE,0,"3C_Bal",3,0,0,1,1,0,91.7,100,0,0,0,0.67,1.33,8,12,6,0,1
"119",155,"A2BWD56OAENASS","Answer.3C_Bal.2",FALSE,0,"3C_Bal",3,0,0,1,2,0,91.7,100,0,0,0,0.75,1.5,9,12,6,0,1
"120",156,"A2BWD56OAENASS","Answer.3C_Bal.3",FALSE,0,"3C_Bal",3,0,0,1,3,0,91.7,100,0,0,0,0.82,1.5,9,11,6,0,1
"121",157,"A2BWD56OAENASS","Answer.3C_Bal.4",FALSE,0,"3C_Bal",3,0,0,1,4,0,91.7,100,0,0,0,0.91,1.67,10,11,6,0,1
"122",158,"A2BWD56OAENASS","Answer.3C_Bal.5",FALSE,0,"3C_Bal",3,0,0,1,5,0,91.7,100,0,0,0,1,1.67,10,10,6,0,1
"123",159,"A2BWD56OAENASS","Answer.3C_Bal.6",TRUE,0,"3C_Bal",3,0,0,1,6,1,91.7,100,0,0,0,1.1,2.2,11,10,5,1,1
"124",160,"A2BWD56OAENASS","Answer.3C_Bal.7",TRUE,0,"3C_Bal",3,0,0,1,7,1,91.7,100,0,0,0,1.22,2.2,11,9,5,1,1
"125",161,"A2BWD56OAENASS","Answer.3C_Bal.8",TRUE,0,"3C_Bal",3,0,0,1,8,1,91.7,100,0,0,0,1.33,2.4,12,9,5,1,1
"126",162,"A2BWD56OAENASS","Answer.3C_Bal.9",TRUE,0,"3C_Bal",3,0,0,1,9,1,91.7,100,0,0,0,1.5,3,12,8,4,1,1
"127",163,"A2BWD56OAENASS","Answer.3C_Mild.1",FALSE,0,"3C_Mild",3,0,0,1,1,0,91.7,100,0,0,0,0.67,0.89,8,12,9,0,0
"128",164,"A2BWD56OAENASS","Answer.3C_Mild.2",FALSE,0,"3C_Mild",3,0,0,1,2,0,91.7,100,0,0,0,0.75,1,9,12,9,0,0
"129",165,"A2BWD56OAENASS","Answer.3C_Mild.3",FALSE,0,"3C_Mild",3,0,0,1,3,0,91.7,100,0,0,0,0.82,1.13,9,11,8,0,1
"130",166,"A2BWD56OAENASS","Answer.3C_Mild.4",TRUE,0,"3C_Mild",3,0,0,1,4,1,91.7,100,0,0,0,0.91,1.25,10,11,8,0,1
"131",167,"A2BWD56OAENASS","Answer.3C_Mild.5",FALSE,0,"3C_Mild",3,0,0,1,5,0,91.7,100,0,0,0,1,1.42,10,10,7,0,1
"132",168,"A2BWD56OAENASS","Answer.3C_Mild.6",TRUE,0,"3C_Mild",3,0,0,1,6,1,91.7,100,0,0,0,1.1,1.57,11,10,7,1,1
"133",169,"A2BWD56OAENASS","Answer.3C_Mild.7",TRUE,0,"3C_Mild",3,0,0,1,7,1,91.7,100,0,0,0,1.22,1.83,11,9,6,1,1
"134",170,"A2BWD56OAENASS","Answer.3C_Mild.8",TRUE,0,"3C_Mild",3,0,0,1,8,1,91.7,100,0,0,0,1.33,1.71,12,9,7,1,1
"135",171,"A2BWD56OAENASS","Answer.3C_Mild.9",TRUE,0,"3C_Mild",3,0,0,1,9,1,91.7,100,0,0,0,1.5,2,12,8,6,1,1
"136",172,"A2BWD56OAENASS","Answer.3C_Unbal.1",FALSE,0,"3C_Unbal",3,0,0,1,1,0,91.7,100,0,0,0,0.67,0.73,8,12,11,0,0
"137",173,"A2BWD56OAENASS","Answer.3C_Unbal.2",FALSE,0,"3C_Unbal",3,0,0,1,2,0,91.7,100,0,0,0,0.75,0.86,9,12,11,0,0
"138",174,"A2BWD56OAENASS","Answer.3C_Unbal.3",FALSE,0,"3C_Unbal",3,0,0,1,3,0,91.7,100,0,0,0,0.82,0.9,9,11,10,0,0
"139",175,"A2BWD56OAENASS","Answer.3C_Unbal.4",FALSE,0,"3C_Unbal",3,0,0,1,4,0,91.7,100,0,0,0,0.91,1,10,11,10,0,0
"140",176,"A2BWD56OAENASS","Answer.3C_Unbal.5",TRUE,0,"3C_Unbal",3,0,0,1,5,1,91.7,100,0,0,0,1,1.11,10,10,9,0,1
"141",177,"A2BWD56OAENASS","Answer.3C_Unbal.6",TRUE,0,"3C_Unbal",3,0,0,1,6,1,91.7,100,0,0,0,1.1,1.22,11,10,9,1,1
"142",178,"A2BWD56OAENASS","Answer.3C_Unbal.7",TRUE,0,"3C_Unbal",3,0,0,1,7,1,91.7,100,0,0,0,1.22,1.38,11,9,8,1,1
"143",179,"A2BWD56OAENASS","Answer.3C_Unbal.8",TRUE,0,"3C_Unbal",3,0,0,1,8,1,91.7,100,0,0,0,1.33,1.5,12,9,8,1,1
"144",180,"A2BWD56OAENASS","Answer.3C_Unbal.9",TRUE,0,"3C_Unbal",3,0,0,1,9,1,91.7,100,0,0,0,1.5,1.71,12,8,7,1,1
"145",217,"A3GPPBNUGEWQ1L","Answer.2C.1",FALSE,0,"2C",2,0,0,1,1,0,94.4,100,0,0,0,0.67,0.67,8,12,12,0,0
"146",218,"A3GPPBNUGEWQ1L","Answer.2C.2",FALSE,0,"2C",2,0,0,1,2,0,94.4,100,0,0,0,0.75,0.75,9,12,12,0,0
"147",219,"A3GPPBNUGEWQ1L","Answer.2C.3",FALSE,0,"2C",2,0,0,1,3,0,94.4,100,0,0,0,0.82,0.82,9,11,11,0,0
"148",220,"A3GPPBNUGEWQ1L","Answer.2C.4",FALSE,0,"2C",2,0,0,1,4,0,94.4,100,0,0,0,0.91,0.91,10,11,11,0,0
"149",221,"A3GPPBNUGEWQ1L","Answer.2C.5",FALSE,0,"2C",2,0,0,1,5,0,94.4,100,0,0,0,1,1,10,10,10,0,0
"150",222,"A3GPPBNUGEWQ1L","Answer.2C.6",TRUE,0,"2C",2,0,0,1,6,1,94.4,100,0,0,0,1.1,1.1,11,10,10,1,1
"151",223,"A3GPPBNUGEWQ1L","Answer.2C.7",TRUE,0,"2C",2,0,0,1,7,1,94.4,100,0,0,0,1.22,1.22,11,9,9,1,1
"152",224,"A3GPPBNUGEWQ1L","Answer.2C.8",TRUE,0,"2C",2,0,0,1,8,1,94.4,100,0,0,0,1.33,1.33,12,9,9,1,1
"153",225,"A3GPPBNUGEWQ1L","Answer.2C.9",TRUE,0,"2C",2,0,0,1,9,1,94.4,100,0,0,0,1.5,1.5,12,8,8,1,1
"154",226,"A3GPPBNUGEWQ1L","Answer.3C_Bal.1",FALSE,0,"3C_Bal",3,0,0,1,1,0,94.4,100,0,0,0,0.67,1.33,8,12,6,0,1
"155",227,"A3GPPBNUGEWQ1L","Answer.3C_Bal.2",FALSE,0,"3C_Bal",3,0,0,1,2,0,94.4,100,0,0,0,0.75,1.5,9,12,6,0,1
"156",228,"A3GPPBNUGEWQ1L","Answer.3C_Bal.3",FALSE,0,"3C_Bal",3,0,0,1,3,0,94.4,100,0,0,0,0.82,1.5,9,11,6,0,1
"157",229,"A3GPPBNUGEWQ1L","Answer.3C_Bal.4",FALSE,0,"3C_Bal",3,0,0,1,4,0,94.4,100,0,0,0,0.91,1.67,10,11,6,0,1
