"","ID","Item","Answer","NotAns","Cat","Col","NonNative","ForeignLang","Most","Number","Yes","Acc.Fil","Acc.Mtn","NotAll","LowAcc","LowMtn","C2.Weber","C3.Weber","Blue","Non.Blue","Yellow"
"121","A4VFHWCOAWGVD","Answer.3C_Bal.4",FALSE,0,"3C_Bal","3",0,0,1,4,0,66.7,75,0,1,0,0.91,1.67,10,11,6
"122","A4VFHWCOAWGVD","Answer.3C_Bal.5",FALSE,0,"3C_Bal","3",0,0,1,5,0,66.7,75,0,1,0,1,1.67,10,10,6
"123","A4VFHWCOAWGVD","Answer.3C_Bal.6",TRUE,0,"3C_Bal","3",0,0,1,6,1,66.7,75,0,1,0,1.1,2.2,11,10,5
"124","A4VFHWCOAWGVD","Answer.3C_Bal.7",FALSE,0,"3C_Bal","3",0,0,1,7,0,66.7,75,0,1,0,1.22,2.2,11,9,5
"125","A4VFHWCOAWGVD","Answer.3C_Bal.8",FALSE,0,"3C_Bal","3",0,0,1,8,0,66.7,75,0,1,0,1.33,2.4,12,9,5
"126","A4VFHWCOAWGVD","Answer.3C_Bal.9",TRUE,0,"3C_Bal","3",0,0,1,9,1,66.7,75,0,1,0,1.5,3,12,8,4
"127","A4VFHWCOAWGVD","Answer.3C_Mild.1",TRUE,0,"3C_Mild","3",0,0,1,1,1,66.7,75,0,1,0,0.67,0.89,8,12,9
"128","A4VFHWCOAWGVD","Answer.3C_Mild.2",FALSE,0,"3C_Mild","3",0,0,1,2,0,66.7,75,0,1,0,0.75,1,9,12,9
"129","A4VFHWCOAWGVD","Answer.3C_Mild.3",TRUE,0,"3C_Mild","3",0,0,1,3,1,66.7,75,0,1,0,0.82,1.13,9,11,8
"130","A4VFHWCOAWGVD","Answer.3C_Mild.4",TRUE,0,"3C_Mild","3",0,0,1,4,1,66.7,75,0,1,0,0.91,1.25,10,11,8
"131","A4VFHWCOAWGVD","Answer.3C_Mild.5",TRUE,0,"3C_Mild","3",0,0,1,5,1,66.7,75,0,1,0,1,1.42,10,10,7
"132","A4VFHWCOAWGVD","Answer.3C_Mild.6",FALSE,0,"3C_Mild","3",0,0,1,6,0,66.7,75,0,1,0,1.1,1.57,11,10,7
"133","A4VFHWCOAWGVD","Answer.3C_Mild.7",FALSE,0,"3C_Mild","3",0,0,1,7,0,66.7,75,0,1,0,1.22,1.83,11,9,6
"134","A4VFHWCOAWGVD","Answer.3C_Mild.8",TRUE,0,"3C_Mild","3",0,0,1,8,1,66.7,75,0,1,0,1.33,1.71,12,9,7
"135","A4VFHWCOAWGVD","Answer.3C_Mild.9",TRUE,0,"3C_Mild","3",0,0,1,9,1,66.7,75,0,1,0,1.5,2,12,8,6
"136","A4VFHWCOAWGVD","Answer.3C_Unbal.1",FALSE,0,"3C_Unbal","3",0,0,1,1,0,66.7,75,0,1,0,0.67,0.73,8,12,11
"137","A4VFHWCOAWGVD","Answer.3C_Unbal.2",FALSE,0,"3C_Unbal","3",0,0,1,2,0,66.7,75,0,1,0,0.75,0.86,9,12,11
"138","A4VFHWCOAWGVD","Answer.3C_Unbal.3",FALSE,0,"3C_Unbal","3",0,0,1,3,0,66.7,75,0,1,0,0.82,0.9,9,11,10
"139","A4VFHWCOAWGVD","Answer.3C_Unbal.4",FALSE,0,"3C_Unbal","3",0,0,1,4,0,66.7,75,0,1,0,0.91,1,10,11,10
"140","A4VFHWCOAWGVD","Answer.3C_Unbal.5",FALSE,0,"3C_Unbal","3",0,0,1,5,0,66.7,75,0,1,0,1,1.11,10,10,9
"141","A4VFHWCOAWGVD","Answer.3C_Unbal.6",TRUE,0,"3C_Unbal","3",0,0,1,6,1,66.7,75,0,1,0,1.1,1.22,11,10,9
"142","A4VFHWCOAWGVD","Answer.3C_Unbal.7",TRUE,0,"3C_Unbal","3",0,0,1,7,1,66.7,75,0,1,0,1.22,1.38,11,9,8
"143","A4VFHWCOAWGVD","Answer.3C_Unbal.8",FALSE,0,"3C_Unbal","3",0,0,1,8,0,66.7,75,0,1,0,1.33,1.5,12,9,8
"144","A4VFHWCOAWGVD","Answer.3C_Unbal.9",FALSE,0,"3C_Unbal","3",0,0,1,9,0,66.7,75,0,1,0,1.5,1.71,12,8,7
"145","A2BWD56OAENASS","Answer.2C.1",FALSE,0,"2C","2",0,0,1,1,0,91.7,100,0,0,0,0.67,0.67,8,12,12
"146","A2BWD56OAENASS","Answer.2C.2",FALSE,0,"2C","2",0,0,1,2,0,91.7,100,0,0,0,0.75,0.75,9,12,12
"147","A2BWD56OAENASS","Answer.2C.3",FALSE,0,"2C","2",0,0,1,3,0,91.7,100,0,0,0,0.82,0.82,9,11,11
"148","A2BWD56OAENASS","Answer.2C.4",FALSE,0,"2C","2",0,0,1,4,0,91.7,100,0,0,0,0.91,0.91,10,11,11
"149","A2BWD56OAENASS","Answer.2C.5",FALSE,0,"2C","2",0,0,1,5,0,91.7,100,0,0,0,1,1,10,10,10
"150","A2BWD56OAENASS","Answer.2C.6",TRUE,0,"2C","2",0,0,1,6,1,91.7,100,0,0,0,1.1,1.1,11,10,10
"151","A2BWD56OAENASS","Answer.2C.7",TRUE,0,"2C","2",0,0,1,7,1,91.7,100,0,0,0,1.22,1.22,11,9,9
"152","A2BWD56OAENASS","Answer.2C.8",TRUE,0,"2C","2",0,0,1,8,1,91.7,100,0,0,0,1.33,1.33,12,9,9
"153","A2BWD56OAENASS","Answer.2C.9",TRUE,0,"2C","2",0,0,1,9,1,91.7,100,0,0,0,1.5,1.5,12,8,8
"154","A2BWD56OAENASS","Answer.3C_Bal.1",FALSE,0,"3C_Bal","3",0,0,1,1,0,91.7,100,0,0,0,0.67,1.33,8,12,6
"155","A2BWD56OAENASS","Answer.3C_Bal.2",FALSE,0,"3C_Bal","3",0,0,1,2,0,91.7,100,0,0,0,0.75,1.5,9,12,6
"156","A2BWD56OAENASS","Answer.3C_Bal.3",FALSE,0,"3C_Bal","3",0,0,1,3,0,91.7,100,0,0,0,0.82,1.5,9,11,6
"157","A2BWD56OAENASS","Answer.3C_Bal.4",FALSE,0,"3C_Bal","3",0,0,1,4,0,91.7,100,0,0,0,0.91,1.67,10,11,6
"158","A2BWD56OAENASS","Answer.3C_Bal.5",FALSE,0,"3C_Bal","3",0,0,1,5,0,91.7,100,0,0,0,1,1.67,10,10,6
"159","A2BWD56OAENASS","Answer.3C_Bal.6",TRUE,0,"3C_Bal","3",0,0,1,6,1,91.7,100,0,0,0,1.1,2.2,11,10,5
"160","A2BWD56OAENASS","Answer.3C_Bal.7",TRUE,0,"3C_Bal","3",0,0,1,7,1,91.7,100,0,0,0,1.22,2.2,11,9,5
"161","A2BWD56OAENASS","Answer.3C_Bal.8",TRUE,0,"3C_Bal","3",0,0,1,8,1,91.7,100,0,0,0,1.33,2.4,12,9,5
"162","A2BWD56OAENASS","Answer.3C_Bal.9",TRUE,0,"3C_Bal","3",0,0,1,9,1,91.7,100,0,0,0,1.5,3,12,8,4
"163","A2BWD56OAENASS","Answer.3C_Mild.1",FALSE,0,"3C_Mild","3",0,0,1,1,0,91.7,100,0,0,0,0.67,0.89,8,12,9
"164","A2BWD56OAENASS","Answer.3C_Mild.2",FALSE,0,"3C_Mild","3",0,0,1,2,0,91.7,100,0,0,0,0.75,1,9,12,9
"165","A2BWD56OAENASS","Answer.3C_Mild.3",FALSE,0,"3C_Mild","3",0,0,1,3,0,91.7,100,0,0,0,0.82,1.13,9,11,8
"166","A2BWD56OAENASS","Answer.3C_Mild.4",TRUE,0,"3C_Mild","3",0,0,1,4,1,91.7,100,0,0,0,0.91,1.25,10,11,8
"167","A2BWD56OAENASS","Answer.3C_Mild.5",FALSE,0,"3C_Mild","3",0,0,1,5,0,91.7,100,0,0,0,1,1.42,10,10,7
"168","A2BWD56OAENASS","Answer.3C_Mild.6",TRUE,0,"3C_Mild","3",0,0,1,6,1,91.7,100,0,0,0,1.1,1.57,11,10,7
"169","A2BWD56OAENASS","Answer.3C_Mild.7",TRUE,0,"3C_Mild","3",0,0,1,7,1,91.7,100,0,0,0,1.22,1.83,11,9,6
"170","A2BWD56OAENASS","Answer.3C_Mild.8",TRUE,0,"3C_Mild","3",0,0,1,8,1,91.7,100,0,0,0,1.33,1.71,12,9,7
"171","A2BWD56OAENASS","Answer.3C_Mild.9",TRUE,0,"3C_Mild","3",0,0,1,9,1,91.7,100,0,0,0,1.5,2,12,8,6
"172","A2BWD56OAENASS","Answer.3C_Unbal.1",FALSE,0,"3C_Unbal","3",0,0,1,1,0,91.7,100,0,0,0,0.67,0.73,8,12,11
"173","A2BWD56OAENASS","Answer.3C_Unbal.2",FALSE,0,"3C_Unbal","3",0,0,1,2,0,91.7,100,0,0,0,0.75,0.86,9,12,11
"174","A2BWD56OAENASS","Answer.3C_Unbal.3",FALSE,0,"3C_Unbal","3",0,0,1,3,0,91.7,100,0,0,0,0.82,0.9,9,11,10
"175","A2BWD56OAENASS","Answer.3C_Unbal.4",FALSE,0,"3C_Unbal","3",0,0,1,4,0,91.7,100,0,0,0,0.91,1,10,11,10
"176","A2BWD56OAENASS","Answer.3C_Unbal.5",TRUE,0,"3C_Unbal","3",0,0,1,5,1,91.7,100,0,0,0,1,1.11,10,10,9
"177","A2BWD56OAENASS","Answer.3C_Unbal.6",TRUE,0,"3C_Unbal","3",0,0,1,6,1,91.7,100,0,0,0,1.1,1.22,11,10,9
"178","A2BWD56OAENASS","Answer.3C_Unbal.7",TRUE,0,"3C_Unbal","3",0,0,1,7,1,91.7,100,0,0,0,1.22,1.38,11,9,8
"179","A2BWD56OAENASS","Answer.3C_Unbal.8",TRUE,0,"3C_Unbal","3",0,0,1,8,1,91.7,100,0,0,0,1.33,1.5,12,9,8
"180","A2BWD56OAENASS","Answer.3C_Unbal.9",TRUE,0,"3C_Unbal","3",0,0,1,9,1,91.7,100,0,0,0,1.5,1.71,12,8,7
"217","A3GPPBNUGEWQ1L","Answer.2C.1",FALSE,0,"2C","2",0,0,1,1,0,94.4,100,0,0,0,0.67,0.67,8,12,12
"218","A3GPPBNUGEWQ1L","Answer.2C.2",FALSE,0,"2C","2",0,0,1,2,0,94.4,100,0,0,0,0.75,0.75,9,12,12
"219","A3GPPBNUGEWQ1L","Answer.2C.3",FALSE,0,"2C","2",0,0,1,3,0,94.4,100,0,0,0,0.82,0.82,9,11,11
"220","A3GPPBNUGEWQ1L","Answer.2C.4",FALSE,0,"2C","2",0,0,1,4,0,94.4,100,0,0,0,0.91,0.91,10,11,11
"221","A3GPPBNUGEWQ1L","Answer.2C.5",FALSE,0,"2C","2",0,0,1,5,0,94.4,100,0,0,0,1,1,10,10,10
"222","A3GPPBNUGEWQ1L","Answer.2C.6",TRUE,0,"2C","2",0,0,1,6,1,94.4,100,0,0,0,1.1,1.1,11,10,10
"223","A3GPPBNUGEWQ1L","Answer.2C.7",TRUE,0,"2C","2",0,0,1,7,1,94.4,100,0,0,0,1.22,1.22,11,9,9
"224","A3GPPBNUGEWQ1L","Answer.2C.8",TRUE,0,"2C","2",0,0,1,8,1,94.4,100,0,0,0,1.33,1.33,12,9,9
"225","A3GPPBNUGEWQ1L","Answer.2C.9",TRUE,0,"2C","2",0,0,1,9,1,94.4,100,0,0,0,1.5,1.5,12,8,8
"226","A3GPPBNUGEWQ1L","Answer.3C_Bal.1",FALSE,0,"3C_Bal","3",0,0,1,1,0,94.4,100,0,0,0,0.67,1.33,8,12,6
"227","A3GPPBNUGEWQ1L","Answer.3C_Bal.2",FALSE,0,"3C_Bal","3",0,0,1,2,0,94.4,100,0,0,0,0.75,1.5,9,12,6
"228","A3GPPBNUGEWQ1L","Answer.3C_Bal.3",FALSE,0,"3C_Bal","3",0,0,1,3,0,94.4,100,0,0,0,0.82,1.5,9,11,6
"229","A3GPPBNUGEWQ1L","Answer.3C_Bal.4",FALSE,0,"3C_Bal","3",0,0,1,4,0,94.4,100,0,0,0,0.91,1.67,10,11,6
"230","A3GPPBNUGEWQ1L","Answer.3C_Bal.5",TRUE,0,"3C_Bal","3",0,0,1,5,1,94.4,100,0,0,0,1,1.67,10,10,6
"231","A3GPPBNUGEWQ1L","Answer.3C_Bal.6",TRUE,0,"3C_Bal","3",0,0,1,6,1,94.4,100,0,0,0,1.1,2.2,11,10,5
"232","A3GPPBNUGEWQ1L","Answer.3C_Bal.7",FALSE,0,"3C_Bal","3",0,0,1,7,0,94.4,100,0,0,0,1.22,2.2,11,9,5
"233","A3GPPBNUGEWQ1L","Answer.3C_Bal.8",TRUE,0,"3C_Bal","3",0,0,1,8,1,94.4,100,0,0,0,1.33,2.4,12,9,5
"234","A3GPPBNUGEWQ1L","Answer.3C_Bal.9",TRUE,0,"3C_Bal","3",0,0,1,9,1,94.4,100,0,0,0,1.5,3,12,8,4
"235","A3GPPBNUGEWQ1L","Answer.3C_Mild.1",FALSE,0,"3C_Mild","3",0,0,1,1,0,94.4,100,0,0,0,0.67,0.89,8,12,9
"236","A3GPPBNUGEWQ1L","Answer.3C_Mild.2",FALSE,0,"3C_Mild","3",0,0,1,2,0,94.4,100,0,0,0,0.75,1,9,12,9
"237","A3GPPBNUGEWQ1L","Answer.3C_Mild.3",FALSE,0,"3C_Mild","3",0,0,1,3,0,94.4,100,0,0,0,0.82,1.13,9,11,8
"238","A3GPPBNUGEWQ1L","Answer.3C_Mild.4",FALSE,0,"3C_Mild","3",0,0,1,4,0,94.4,100,0,0,0,0.91,1.25,10,11,8
"239","A3GPPBNUGEWQ1L","Answer.3C_Mild.5",TRUE,0,"3C_Mild","3",0,0,1,5,1,94.4,100,0,0,0,1,1.42,10,10,7
"240","A3GPPBNUGEWQ1L","Answer.3C_Mild.6",FALSE,0,"3C_Mild","3",0,0,1,6,0,94.4,100,0,0,0,1.1,1.57,11,10,7
"241","A3GPPBNUGEWQ1L","Answer.3C_Mild.7",TRUE,0,"3C_Mild","3",0,0,1,7,1,94.4,100,0,0,0,1.22,1.83,11,9,6
"242","A3GPPBNUGEWQ1L","Answer.3C_Mild.8",FALSE,0,"3C_Mild","3",0,0,1,8,0,94.4,100,0,0,0,1.33,1.71,12,9,7
"243","A3GPPBNUGEWQ1L","Answer.3C_Mild.9",TRUE,0,"3C_Mild","3",0,0,1,9,1,94.4,100,0,0,0,1.5,2,12,8,6
"244","A3GPPBNUGEWQ1L","Answer.3C_Unbal.1",FALSE,0,"3C_Unbal","3",0,0,1,1,0,94.4,100,0,0,0,0.67,0.73,8,12,11
"245","A3GPPBNUGEWQ1L","Answer.3C_Unbal.2",FALSE,0,"3C_Unbal","3",0,0,1,2,0,94.4,100,0,0,0,0.75,0.86,9,12,11
"246","A3GPPBNUGEWQ1L","Answer.3C_Unbal.3",FALSE,0,"3C_Unbal","3",0,0,1,3,0,94.4,100,0,0,0,0.82,0.9,9,11,10
"247","A3GPPBNUGEWQ1L","Answer.3C_Unbal.4",FALSE,0,"3C_Unbal","3",0,0,1,4,0,94.4,100,0,0,0,0.91,1,10,11,10
"248","A3GPPBNUGEWQ1L","Answer.3C_Unbal.5",FALSE,0,"3C_Unbal","3",0,0,1,5,0,94.4,100,0,0,0,1,1.11,10,10,9
"249","A3GPPBNUGEWQ1L","Answer.3C_Unbal.6",FALSE,0,"3C_Unbal","3",0,0,1,6,0,94.4,100,0,0,0,1.1,1.22,11,10,9
"250","A3GPPBNUGEWQ1L","Answer.3C_Unbal.7",TRUE,0,"3C_Unbal","3",0,0,1,7,1,94.4,100,0,0,0,1.22,1.38,11,9,8
"251","A3GPPBNUGEWQ1L","Answer.3C_Unbal.8",FALSE,0,"3C_Unbal","3",0,0,1,8,0,94.4,100,0,0,0,1.33,1.5,12,9,8
"252","A3GPPBNUGEWQ1L","Answer.3C_Unbal.9",TRUE,0,"3C_Unbal","3",0,0,1,9,1,94.4,100,0,0,0,1.5,1.71,12,8,7
"253","AFL2WDUGBZ5QR","Answer.2C.1",FALSE,0,"2C","2",0,0,1,1,0,95.8,100,0,0,0,0.67,0.67,8,12,12
"254","AFL2WDUGBZ5QR","Answer.2C.2",FALSE,0,"2C","2",0,0,1,2,0,95.8,100,0,0,0,0.75,0.75,9,12,12
"255","AFL2WDUGBZ5QR","Answer.2C.3",FALSE,0,"2C","2",0,0,1,3,0,95.8,100,0,0,0,0.82,0.82,9,11,11
"256","AFL2WDUGBZ5QR","Answer.2C.4",FALSE,0,"2C","2",0,0,1,4,0,95.8,100,0,0,0,0.91,0.91,10,11,11
"257","AFL2WDUGBZ5QR","Answer.2C.5",FALSE,0,"2C","2",0,0,1,5,0,95.8,100,0,0,0,1,1,10,10,10
"258","AFL2WDUGBZ5QR","Answer.2C.6",TRUE,0,"2C","2",0,0,1,6,1,95.8,100,0,0,0,1.1,1.1,11,10,10
"259","AFL2WDUGBZ5QR","Answer.2C.7",TRUE,0,"2C","2",0,0,1,7,1,95.8,100,0,0,0,1.22,1.22,11,9,9
"260","AFL2WDUGBZ5QR","Answer.2C.8",FALSE,0,"2C","2",0,0,1,8,0,95.8,100,0,0,0,1.33,1.33,12,9,9
"261","AFL2WDUGBZ5QR","Answer.2C.9",TRUE,0,"2C","2",0,0,1,9,1,95.8,100,0,0,0,1.5,1.5,12,8,8
"262","AFL2WDUGBZ5QR","Answer.3C_Bal.1",FALSE,0,"3C_Bal","3",0,0,1,1,0,95.8,100,0,0,0,0.67,1.33,8,12,6
"263","AFL2WDUGBZ5QR","Answer.3C_Bal.2",FALSE,0,"3C_Bal","3",0,0,1,2,0,95.8,100,0,0,0,0.75,1.5,9,12,6
"264","AFL2WDUGBZ5QR","Answer.3C_Bal.3",FALSE,0,"3C_Bal","3",0,0,1,3,0,95.8,100,0,0,0,0.82,1.5,9,11,6
"265","AFL2WDUGBZ5QR","Answer.3C_Bal.4",TRUE,0,"3C_Bal","3",0,0,1,4,1,95.8,100,0,0,0,0.91,1.67,10,11,6
"266","AFL2WDUGBZ5QR","Answer.3C_Bal.5",FALSE,0,"3C_Bal","3",0,0,1,5,0,95.8,100,0,0,0,1,1.67,10,10,6
"267","AFL2WDUGBZ5QR","Answer.3C_Bal.6",TRUE,0,"3C_Bal","3",0,0,1,6,1,95.8,100,0,0,0,1.1,2.2,11,10,5
"268","AFL2WDUGBZ5QR","Answer.3C_Bal.7",TRUE,0,"3C_Bal","3",0,0,1,7,1,95.8,100,0,0,0,1.22,2.2,11,9,5
"269","AFL2WDUGBZ5QR","Answer.3C_Bal.8",TRUE,0,"3C_Bal","3",0,0,1,8,1,95.8,100,0,0,0,1.33,2.4,12,9,5
"270","AFL2WDUGBZ5QR","Answer.3C_Bal.9",TRUE,0,"3C_Bal","3",0,0,1,9,1,95.8,100,0,0,0,1.5,3,12,8,4
"271","AFL2WDUGBZ5QR","Answer.3C_Mild.1",FALSE,0,"3C_Mild","3",0,0,1,1,0,95.8,100,0,0,0,0.67,0.89,8,12,9
"272","AFL2WDUGBZ5QR","Answer.3C_Mild.2",FALSE,0,"3C_Mild","3",0,0,1,2,0,95.8,100,0,0,0,0.75,1,9,12,9
"273","AFL2WDUGBZ5QR","Answer.3C_Mild.3",TRUE,0,"3C_Mild","3",0,0,1,3,1,95.8,100,0,0,0,0.82,1.13,9,11,8
"274","AFL2WDUGBZ5QR","Answer.3C_Mild.4",FALSE,0,"3C_Mild","3",0,0,1,4,0,95.8,100,0,0,0,0.91,1.25,10,11,8
"275","AFL2WDUGBZ5QR","Answer.3C_Mild.5",TRUE,0,"3C_Mild","3",0,0,1,5,1,95.8,100,0,0,0,1,1.42,10,10,7
"276","AFL2WDUGBZ5QR","Answer.3C_Mild.6",FALSE,0,"3C_Mild","3",0,0,1,6,0,95.8,100,0,0,0,1.1,1.57,11,10,7
"277","AFL2WDUGBZ5QR","Answer.3C_Mild.7",FALSE,0,"3C_Mild","3",0,0,1,7,0,95.8,100,0,0,0,1.22,1.83,11,9,6
"278","AFL2WDUGBZ5QR","Answer.3C_Mild.8",FALSE,0,"3C_Mild","3",0,0,1,8,0,95.8,100,0,0,0,1.33,1.71,12,9,7
